item_ID,Name,Category,wholesale_Cost,warehouse_Loc
621,Virtual stable approach Box,Cookies,3.9,Aisle 2 - Bin 6
374,Centralized dynamic open syste Pack,Soda,0.84,Aisle 4 - Bin 4
8855,Ameliorated reciprocal knowled Bar,Soda,3.25,Aisle 5 - Bin 6
8324,Enhanced uniform capability Can,Energy Drinks,2.15,Aisle 5 - Bin 9
7526,Cross-platform directional par Pack,Health Food,4.3,Aisle 3 - Bin 4
6392,Diverse real-time core Bar,Health Food,4.5,Aisle 5 - Bin 9
5940,Pre-emptive uniform structure Pack,Snack,2.58,Aisle 5 - Bin 9
8793,Switchable leadingedge access Can,Cookies,2.8,Aisle 5 - Bin 9
9065,Ergonomic logistical productiv Pack,Energy Drinks,1.06,Aisle 5 - Bin 3
800,Versatile user-facing service- Can,Energy Drinks,3.93,Aisle 2 - Bin 1
4494,Diverse full-range time-frame Pack,Beverage,2.62,Aisle 4 - Bin 4
9902,Reduced explicit algorithm Can,Beverage,2.07,Aisle 2 - Bin 6
8545,Distributed dedicated emulatio Bottle,Health Food,4.33,Aisle 5 - Bin 6
1451,Multi-channeled discrete model Bar,Energy Drinks,4.68,Aisle 4 - Bin 2
5177,Optional fresh-thinking knowle Can,Soda,2.34,Aisle 2 - Bin 9
6533,Visionary reciprocal conglomer Bar,Chips,4.96,Aisle 5 - Bin 3
2918,Face-to-face intangible task-f Bottle,Health Food,2.36,Aisle 5 - Bin 9
878,Visionary systemic parallelism Bar,Chips,4.25,Aisle 2 - Bin 6
9455,Grass-roots secondary infrastr Bottle,Cookies,4.11,Aisle 5 - Bin 9
1876,Optional holistic support Can,Snack,3.48,Aisle 1 - Bin 1
2396,Synergized system-worthy monit Bottle,Soda,3.2,Aisle 4 - Bin 8
5114,Multi-channeled uniform instru Box,Water,4.79,Aisle 5 - Bin 9
5366,Reactive 3rdgeneration hierarc Box,Snack,1.57,Aisle 2 - Bin 1
8840,Robust exuding process improve Bar,Energy Drinks,3.67,Aisle 4 - Bin 8
2043,Programmable well-modulated pa Bar,Health Food,3.93,Aisle 5 - Bin 9
6870,Networked contextually-based h Bottle,Candy,3.0,Aisle 5 - Bin 9
756,Innovative client-server open  Bottle,Candy,4.9,Aisle 2 - Bin 7
4370,Persevering content-based fram Pack,Candy,2.17,Aisle 3 - Bin 4
2093,Inverse grid-enabled protocol Bottle,Health Food,1.89,Aisle 1 - Bin 1
1811,User-centric intermediate secu Bar,Juice,2.82,Aisle 2 - Bin 1
2700,Enhanced optimal leverage Bar,Beverage,0.59,Aisle 1 - Bin 9
5938,Proactive tertiary standardiza Can,Snack,2.23,Aisle 2 - Bin 1
9303,Fundamental homogeneous model Box,Juice,4.53,Aisle 4 - Bin 7
5717,Integrated web-enabled capabil Can,Candy,3.42,Aisle 5 - Bin 9
3863,Decentralized regional framewo Box,Juice,3.86,Aisle 1 - Bin 9
6766,Intuitive mobile paradigm Bottle,Snack,1.06,Aisle 5 - Bin 9
1177,Synchronized motivating strate Bar,Candy,1.0,Aisle 5 - Bin 9
308,Adaptive responsive algorithm Bar,Energy Drinks,1.06,Aisle 5 - Bin 9
2049,Self-enabling full-range frame Bar,Snack,2.29,Aisle 1 - Bin 9
2729,Persevering multi-tasking thro Box,Energy Drinks,2.3,Aisle 3 - Bin 4
1908,Decentralized optimizing hub Bottle,Energy Drinks,0.78,Aisle 4 - Bin 8
9884,Devolved high-level strategy Bar,Health Food,2.59,Aisle 2 - Bin 2
5550,Diverse bi-directional capabil Can,Health Food,1.01,Aisle 1 - Bin 9
8378,Automated national service-des Can,Beverage,3.94,Aisle 1 - Bin 10
7906,Vision-oriented dynamic soluti Pack,Chips,4.95,Aisle 2 - Bin 7
6813,Secured holistic service-desk Pack,Water,3.81,Aisle 2 - Bin 1
3357,Triple-buffered multi-tasking  Box,Snack,4.99,Aisle 2 - Bin 9
984,User-centric zero administrati Bar,Cookies,2.32,Aisle 2 - Bin 7
1222,Multi-lateral bottom-line soft Can,Chips,3.97,Aisle 3 - Bin 4
8158,Virtual client-driven synergy Can,Health Food,4.32,Aisle 4 - Bin 2
5190,Operative web-enabled collabor Bar,Beverage,3.64,Aisle 5 - Bin 3
7897,Public-key tangible hardware Can,Candy,1.05,Aisle 5 - Bin 3
7829,Secured explicit monitoring Bar,Soda,3.83,Aisle 2 - Bin 2
9727,Sharable 6thgeneration knowled Bar,Juice,2.45,Aisle 5 - Bin 9
5917,Stand-alone heuristic interfac Pack,Juice,1.09,Aisle 3 - Bin 2
3392,Multi-lateral reciprocal neura Pack,Chips,1.21,Aisle 3 - Bin 2
6942,Customizable logistical levera Box,Juice,4.37,Aisle 2 - Bin 9
970,Open-architected asynchronous  Pack,Health Food,1.77,Aisle 4 - Bin 2
9047,Synergistic bifurcated Local A Can,Health Food,1.26,Aisle 2 - Bin 6
6355,Ameliorated motivating definit Box,Beverage,4.8,Aisle 1 - Bin 10
4441,Multi-layered mission-critical Bar,Water,3.66,Aisle 4 - Bin 2
7689,Visionary clear-thinking syste Bar,Cookies,3.7,Aisle 3 - Bin 4
8559,Centralized human-resource inf Bottle,Snack,4.24,Aisle 4 - Bin 2
7627,Function-based motivating matr Box,Candy,4.48,Aisle 4 - Bin 7
4237,Enhanced mission-critical data Bottle,Snack,2.49,Aisle 5 - Bin 6
8963,Right-sized intermediate metho Bottle,Juice,1.4,Aisle 1 - Bin 10
5174,Exclusive value-added frame Pack,Beverage,2.61,Aisle 5 - Bin 6
9077,Advanced maximized groupware Can,Juice,1.55,Aisle 5 - Bin 9
7147,Assimilated even-keeled knowle Can,Juice,3.5,Aisle 5 - Bin 6
8006,Operative executive projection Bar,Cookies,4.03,Aisle 4 - Bin 2
7770,Customizable high-level interf Box,Health Food,2.74,Aisle 4 - Bin 4
1961,Distributed coherent encryptio Pack,Soda,3.52,Aisle 4 - Bin 8
1846,Reactive high-level collaborat Bottle,Energy Drinks,2.98,Aisle 1 - Bin 9
4593,Virtual empowering system engi Pack,Water,3.55,Aisle 3 - Bin 2
631,Implemented stable toolset Box,Candy,1.19,Aisle 4 - Bin 7
3571,Integrated maximized analyzer Bar,Health Food,2.36,Aisle 5 - Bin 9
5769,Diverse tangible capability Pack,Water,0.58,Aisle 1 - Bin 1
5797,Pre-emptive optimal collaborat Box,Juice,3.11,Aisle 2 - Bin 7
2888,Realigned uniform Graphic Inte Bottle,Cookies,4.19,Aisle 5 - Bin 9
7534,Digitized multi-tasking archiv Can,Candy,2.86,Aisle 1 - Bin 9
5441,Seamless intermediate synergy Pack,Juice,4.33,Aisle 1 - Bin 1
2446,Re-engineered high-level Inter Pack,Health Food,2.13,Aisle 4 - Bin 8
8815,Reduced regional capability Box,Chips,4.44,Aisle 1 - Bin 1
9304,Profit-focused real-time chall Bar,Chips,1.59,Aisle 2 - Bin 2
6908,Assimilated object-oriented th Bottle,Snack,3.46,Aisle 3 - Bin 4
9803,User-centric fresh-thinking in Bar,Candy,2.83,Aisle 4 - Bin 7
8911,Persevering explicit open syst Bar,Beverage,1.22,Aisle 4 - Bin 4
5290,Optimized optimizing system en Bar,Juice,2.74,Aisle 5 - Bin 9
6959,User-centric system-worthy sof Bottle,Chips,4.23,Aisle 1 - Bin 10
7831,Face-to-face background produc Pack,Cookies,2.57,Aisle 1 - Bin 10
2443,Enterprise-wide systematic str Bar,Juice,3.34,Aisle 4 - Bin 4
1771,Stand-alone zero-defect challe Can,Candy,1.06,Aisle 2 - Bin 1
2253,Ergonomic methodical hierarchy Box,Snack,4.02,Aisle 4 - Bin 8
3976,Customizable multimedia orches Bottle,Juice,0.78,Aisle 5 - Bin 9
5757,Cross-platform impactful proje Box,Soda,3.13,Aisle 2 - Bin 7
124,Centralized didactic definitio Pack,Health Food,2.54,Aisle 2 - Bin 7
8208,Up-sized zero tolerance hardwa Bar,Soda,4.39,Aisle 3 - Bin 2
3561,Public-key disintermediate arc Bar,Soda,0.76,Aisle 5 - Bin 9
6062,Universal disintermediate hub Box,Energy Drinks,3.49,Aisle 4 - Bin 7
5150,Future-proofed composite produ Bar,Juice,4.72,Aisle 2 - Bin 1
7958,Programmable system-worthy imp Can,Energy Drinks,1.42,Aisle 2 - Bin 6
1294,Self-enabling solution-oriente Box,Candy,4.52,Aisle 2 - Bin 2
5734,Secured full-range attitude Box,Snack,0.94,Aisle 2 - Bin 2
4243,Distributed real-time protocol Box,Beverage,2.92,Aisle 4 - Bin 4
6907,Quality-focused full-range con Bar,Chips,3.84,Aisle 5 - Bin 6
1837,Synergized stable emulation Bar,Energy Drinks,3.01,Aisle 2 - Bin 2
4517,Reactive 5thgeneration utiliza Pack,Health Food,1.86,Aisle 2 - Bin 9
8295,Persevering dedicated implemen Can,Cookies,1.5,Aisle 4 - Bin 2
5333,Multi-layered local moderator Bottle,Energy Drinks,3.51,Aisle 2 - Bin 6
6919,Self-enabling local toolset Box,Cookies,2.6,Aisle 5 - Bin 3
1491,Switchable local project Pack,Cookies,2.76,Aisle 5 - Bin 3
8367,Enterprise-wide 5thgeneration  Box,Soda,4.57,Aisle 1 - Bin 1
258,Digitized global help-desk Bottle,Energy Drinks,4.02,Aisle 2 - Bin 2
3379,Persevering fresh-thinking mig Box,Health Food,4.47,Aisle 1 - Bin 10
7454,Enterprise-wide reciprocal thr Pack,Soda,3.72,Aisle 4 - Bin 4
8783,Compatible disintermediate ope Pack,Cookies,3.17,Aisle 3 - Bin 2
4368,Upgradable incremental solutio Can,Water,2.84,Aisle 5 - Bin 9
5847,Visionary attitude-oriented in Bottle,Juice,3.09,Aisle 4 - Bin 4
4480,Enhanced regional data-warehou Can,Water,4.38,Aisle 2 - Bin 9
3552,Multi-channeled clear-thinking Can,Juice,3.91,Aisle 4 - Bin 2
1078,Public-key mobile capability Bottle,Energy Drinks,0.64,Aisle 5 - Bin 3
5510,Quality-focused logistical fun Bar,Cookies,1.61,Aisle 5 - Bin 9
667,Profound dedicated matrices Can,Water,2.28,Aisle 2 - Bin 7
5461,Business-focused contextually- Pack,Health Food,3.06,Aisle 2 - Bin 2
958,Self-enabling asymmetric capab Bar,Cookies,1.53,Aisle 3 - Bin 5
9335,Adaptive regional encryption Bar,Beverage,4.5,Aisle 5 - Bin 3
4802,Fundamental reciprocal task-fo Can,Cookies,1.77,Aisle 2 - Bin 2
5062,Inverse multi-state frame Bar,Juice,3.69,Aisle 1 - Bin 1
3416,Switchable 5thgeneration emula Bottle,Water,0.9,Aisle 2 - Bin 1
5644,Digitized stable infrastructur Can,Soda,3.69,Aisle 4 - Bin 2
5342,Networked heuristic superstruc Bottle,Beverage,1.83,Aisle 5 - Bin 9
5954,Implemented contextually-based Pack,Health Food,2.59,Aisle 1 - Bin 10
9929,Cross-platform incremental ope Can,Candy,2.46,Aisle 2 - Bin 6
6262,Decentralized eco-centric atti Can,Cookies,4.44,Aisle 2 - Bin 9
9321,Horizontal hybrid product Bar,Beverage,2.35,Aisle 4 - Bin 7
1723,Grass-roots background neural- Can,Soda,2.17,Aisle 2 - Bin 7
2872,Re-engineered fresh-thinking w Box,Water,4.81,Aisle 5 - Bin 9
3711,Visionary asynchronous workfor Bar,Candy,3.69,Aisle 2 - Bin 2
7676,Grass-roots modular moderator Bar,Energy Drinks,2.4,Aisle 1 - Bin 10
4252,Diverse transitional installat Bar,Health Food,4.96,Aisle 5 - Bin 9
3913,Secured neutral strategy Pack,Juice,3.39,Aisle 5 - Bin 9
5477,Seamless tertiary emulation Can,Juice,0.85,Aisle 2 - Bin 9
8003,Multi-lateral discrete challen Bottle,Juice,1.18,Aisle 4 - Bin 4
5892,Function-based multi-tasking e Bar,Soda,0.86,Aisle 3 - Bin 2
3981,Horizontal bi-directional core Pack,Candy,1.87,Aisle 1 - Bin 10
8255,Robust 6thgeneration productiv Pack,Energy Drinks,0.95,Aisle 2 - Bin 2
7444,Reverse-engineered radical tas Can,Beverage,4.7,Aisle 1 - Bin 1
8461,Upgradable didactic pricing st Can,Snack,2.72,Aisle 2 - Bin 1
2252,Sharable client-server forecas Box,Snack,1.38,Aisle 2 - Bin 7
2924,Decentralized intangible knowl Can,Beverage,1.53,Aisle 2 - Bin 6
2928,Ergonomic coherent product Bottle,Soda,0.93,Aisle 2 - Bin 7
8088,Object-based analyzing process Bar,Water,2.77,Aisle 5 - Bin 9
8336,Switchable reciprocal concept Bottle,Chips,3.31,Aisle 5 - Bin 9
6678,Assimilated neutral methodolog Can,Water,1.13,Aisle 2 - Bin 2
3472,Open-architected radical inter Can,Juice,3.68,Aisle 2 - Bin 2
4737,Digitized 6thgeneration info-m Box,Energy Drinks,2.22,Aisle 5 - Bin 9
8148,Robust 24/7 flexibility Bar,Snack,4.85,Aisle 4 - Bin 7
9224,Extended attitude-oriented suc Box,Water,2.79,Aisle 2 - Bin 7
8922,Automated encompassing info-me Bottle,Chips,2.73,Aisle 4 - Bin 8
6305,Open-architected 5thgeneration Pack,Water,3.58,Aisle 4 - Bin 4
2874,Enterprise-wide content-based  Box,Health Food,3.89,Aisle 4 - Bin 4
1599,Versatile neutral utilization Box,Juice,3.17,Aisle 3 - Bin 5
3882,Optional real-time access Can,Water,0.97,Aisle 1 - Bin 9
550,Right-sized needs-based orches Pack,Water,4.83,Aisle 3 - Bin 4
364,User-centric bi-directional se Pack,Energy Drinks,2.94,Aisle 5 - Bin 9
8178,Intuitive web-enabled capabili Pack,Health Food,2.67,Aisle 5 - Bin 3
9076,Virtual homogeneous superstruc Can,Juice,3.82,Aisle 4 - Bin 7
221,Stand-alone dedicated extranet Bar,Juice,1.53,Aisle 1 - Bin 10
2708,Public-key holistic installati Box,Cookies,3.3,Aisle 4 - Bin 4
9952,Visionary multi-state moratori Pack,Energy Drinks,1.17,Aisle 2 - Bin 7
9091,Persevering system-worthy prod Bar,Water,3.92,Aisle 2 - Bin 9
1005,Expanded mission-critical inte Box,Health Food,0.81,Aisle 5 - Bin 9
7448,Automated modular database Can,Juice,0.82,Aisle 1 - Bin 10
3792,Profit-focused homogeneous pol Pack,Juice,2.58,Aisle 4 - Bin 4
8042,Intuitive user-facing concept Can,Candy,2.35,Aisle 2 - Bin 2
1777,Cross-platform bottom-line con Bar,Juice,3.31,Aisle 5 - Bin 9
6682,Total incremental open archite Bar,Cookies,2.28,Aisle 2 - Bin 7
9755,Team-oriented optimizing Local Bottle,Juice,1.55,Aisle 3 - Bin 5
59,Proactive bi-directional websi Box,Juice,1.93,Aisle 5 - Bin 9
1986,Total real-time info-mediaries Bottle,Energy Drinks,1.38,Aisle 5 - Bin 6
9202,Quality-focused non-volatile t Can,Health Food,3.71,Aisle 2 - Bin 6
9311,Ameliorated bottom-line Intern Pack,Chips,1.57,Aisle 3 - Bin 5
6740,Adaptive foreground conglomera Bar,Energy Drinks,3.87,Aisle 4 - Bin 2
6943,Face-to-face uniform utilizati Box,Juice,1.91,Aisle 2 - Bin 9
8649,Future-proofed multi-tasking c Can,Chips,0.82,Aisle 5 - Bin 9
9487,Cross-platform 3rdgeneration t Can,Beverage,2.83,Aisle 5 - Bin 9
6781,Progressive clear-thinking sec Bar,Energy Drinks,4.84,Aisle 1 - Bin 10
3947,Proactive coherent Local Area  Box,Beverage,1.72,Aisle 2 - Bin 7
8442,Sharable context-sensitive dat Bottle,Juice,4.37,Aisle 2 - Bin 1
8806,Multi-channeled multi-tasking  Can,Beverage,2.78,Aisle 1 - Bin 10
1747,Triple-buffered 24/7 encoding Box,Health Food,3.65,Aisle 5 - Bin 3
9636,Profound 4thgeneration Graphic Bar,Water,1.28,Aisle 1 - Bin 1
2259,Extended static success Can,Snack,1.59,Aisle 5 - Bin 6
1360,Operative methodical database Can,Candy,4.6,Aisle 3 - Bin 5
8014,Assimilated incremental method Bar,Chips,4.1,Aisle 1 - Bin 9
2118,Adaptive solution-oriented Gra Bottle,Water,3.91,Aisle 2 - Bin 9
8306,Realigned optimizing installat Bottle,Snack,0.81,Aisle 5 - Bin 9
75,Inverse 24/7 leverage Can,Cookies,3.17,Aisle 5 - Bin 6
7733,Assimilated static architectur Box,Water,2.05,Aisle 4 - Bin 8
1999,Enhanced intermediate array Bar,Soda,2.67,Aisle 3 - Bin 2
2619,Cross-group even-keeled Local  Bar,Cookies,2.13,Aisle 5 - Bin 3
8458,Ergonomic asynchronous ability Box,Health Food,3.56,Aisle 3 - Bin 5
4558,Face-to-face heuristic approac Bottle,Health Food,3.09,Aisle 3 - Bin 4
7480,Multi-channeled fault-tolerant Can,Soda,2.68,Aisle 5 - Bin 3
1709,Seamless full-range middleware Box,Soda,3.49,Aisle 2 - Bin 7
599,Focused zero tolerance Graphic Bottle,Chips,1.09,Aisle 4 - Bin 2
8608,Multi-tiered client-driven int Bottle,Energy Drinks,2.41,Aisle 5 - Bin 9
2088,Operative client-server workfo Bar,Water,2.78,Aisle 3 - Bin 5
4785,Fundamental neutral architectu Bottle,Chips,0.71,Aisle 2 - Bin 1
6057,Integrated value-added databas Bar,Health Food,4.07,Aisle 4 - Bin 8
3507,Upgradable mobile installation Bottle,Snack,2.62,Aisle 2 - Bin 6
9652,Multi-tiered zero administrati Bar,Health Food,2.77,Aisle 2 - Bin 7
9867,Customizable dedicated instruc Pack,Snack,3.98,Aisle 4 - Bin 2
3813,Optional high-level workforce Can,Cookies,1.68,Aisle 1 - Bin 1
4545,Streamlined heuristic attitude Box,Snack,4.63,Aisle 5 - Bin 6
3454,Cross-platform zero administra Box,Water,4.87,Aisle 3 - Bin 5
9802,Right-sized mission-critical t Bar,Snack,4.84,Aisle 2 - Bin 2
8611,Fully-configurable encompassin Bottle,Health Food,3.92,Aisle 2 - Bin 7
8632,Object-based 3rdgeneration inf Pack,Cookies,3.13,Aisle 2 - Bin 9
4594,Managed intermediate core Box,Beverage,2.92,Aisle 3 - Bin 4
206,Reduced incremental toolset Bar,Candy,3.45,Aisle 4 - Bin 4
9859,Reduced logistical flexibility Bottle,Cookies,3.1,Aisle 5 - Bin 9
4797,Open-source optimal frame Can,Juice,0.67,Aisle 5 - Bin 9
8593,Centralized secondary applicat Bar,Soda,2.36,Aisle 5 - Bin 6
7081,Configurable heuristic help-de Bottle,Chips,4.81,Aisle 4 - Bin 7
7735,Digitized optimal knowledgebas Can,Water,4.93,Aisle 3 - Bin 5
1864,Grass-roots didactic hardware Bottle,Cookies,0.99,Aisle 3 - Bin 4
8251,Implemented bandwidth-monitore Bottle,Beverage,2.37,Aisle 2 - Bin 1
8885,Future-proofed foreground proj Can,Beverage,4.18,Aisle 5 - Bin 3
6286,Optional disintermediate appli Can,Candy,3.29,Aisle 3 - Bin 4
493,Fully-configurable value-added Box,Candy,3.2,Aisle 3 - Bin 2
9134,Profit-focused solution-orient Box,Chips,0.78,Aisle 5 - Bin 6
1551,Sharable logistical info-media Bar,Energy Drinks,2.96,Aisle 4 - Bin 8
7592,Pre-emptive responsive info-me Can,Juice,2.76,Aisle 5 - Bin 9
1108,Sharable systemic budgetary ma Pack,Candy,4.18,Aisle 2 - Bin 6
3384,Advanced real-time help-desk Pack,Beverage,3.52,Aisle 2 - Bin 2
1088,Grass-roots methodical complex Bar,Chips,0.57,Aisle 3 - Bin 2
9275,Right-sized leadingedge projec Bar,Cookies,2.73,Aisle 5 - Bin 3
2615,Triple-buffered impactful circ Bottle,Candy,4.67,Aisle 2 - Bin 6
9512,Persevering explicit infrastru Box,Cookies,1.96,Aisle 2 - Bin 1
8228,Customizable multi-state knowl Pack,Candy,3.89,Aisle 4 - Bin 4
7680,Persistent foreground hierarch Bottle,Chips,4.56,Aisle 1 - Bin 9
438,Expanded mission-critical syst Pack,Chips,0.95,Aisle 1 - Bin 10
8926,Adaptive tangible definition Can,Juice,2.68,Aisle 4 - Bin 4
5274,Proactive attitude-oriented co Pack,Beverage,4.14,Aisle 2 - Bin 6
5584,User-centric user-facing funct Pack,Energy Drinks,1.15,Aisle 3 - Bin 4
5543,Open-architected asymmetric pr Box,Beverage,3.44,Aisle 4 - Bin 8
8889,Organized zero administration  Bar,Water,4.44,Aisle 5 - Bin 9
5520,Optional hybrid definition Bar,Cookies,4.7,Aisle 1 - Bin 10
3076,Quality-focused 4thgeneration  Box,Candy,1.51,Aisle 5 - Bin 3
5436,Re-contextualized global extra Box,Cookies,4.27,Aisle 1 - Bin 10
1191,Managed 5thgeneration algorith Pack,Candy,1.59,Aisle 4 - Bin 8
2853,Ameliorated solution-oriented  Pack,Beverage,3.48,Aisle 5 - Bin 9
3461,Centralized maximized framewor Pack,Health Food,3.72,Aisle 3 - Bin 2
3364,Fundamental 24hour methodology Bottle,Candy,2.82,Aisle 2 - Bin 2
7029,Multi-lateral value-added pric Box,Soda,1.73,Aisle 1 - Bin 1
1645,Persevering real-time knowledg Bar,Soda,4.91,Aisle 4 - Bin 4
461,Persevering real-time approach Bottle,Beverage,2.1,Aisle 4 - Bin 7
5668,Expanded grid-enabled applicat Bottle,Beverage,1.72,Aisle 5 - Bin 6
3927,Distributed dedicated product Can,Cookies,0.85,Aisle 2 - Bin 6
1893,Exclusive value-added middlewa Pack,Snack,4.92,Aisle 4 - Bin 4
9140,Ergonomic 6thgeneration paradi Box,Water,4.95,Aisle 4 - Bin 7
7531,De-engineered global policy Can,Chips,3.09,Aisle 5 - Bin 3
5665,Integrated value-added Graphic Can,Candy,1.43,Aisle 4 - Bin 4
3725,Intuitive human-resource tools Box,Energy Drinks,2.36,Aisle 1 - Bin 9
4823,Proactive high-level emulation Pack,Soda,0.62,Aisle 4 - Bin 7
1304,Grass-roots didactic Local Are Bottle,Health Food,4.85,Aisle 4 - Bin 4
3422,Compatible local moratorium Box,Energy Drinks,0.56,Aisle 5 - Bin 9
1251,Object-based 6thgeneration gro Bottle,Candy,2.68,Aisle 5 - Bin 6
8090,Visionary disintermediate webs Bar,Cookies,4.4,Aisle 4 - Bin 2
6761,Integrated 3rdgeneration succe Can,Water,4.89,Aisle 1 - Bin 1
1560,Up-sized well-modulated projec Bar,Snack,2.18,Aisle 5 - Bin 6
764,Compatible asynchronous access Box,Juice,4.74,Aisle 5 - Bin 9
9012,Customizable logistical protoc Bottle,Cookies,1.52,Aisle 1 - Bin 10
8962,Persevering mobile moratorium Can,Cookies,3.12,Aisle 1 - Bin 1
6115,Profit-focused content-based n Box,Energy Drinks,2.06,Aisle 2 - Bin 9
8389,Configurable tangible function Pack,Beverage,3.36,Aisle 1 - Bin 10
3044,Total heuristic application Pack,Juice,4.9,Aisle 2 - Bin 7
7966,Reverse-engineered national kn Bottle,Snack,1.35,Aisle 3 - Bin 5
7305,Devolved global archive Can,Snack,1.0,Aisle 2 - Bin 2
6159,Extended background complexity Bar,Soda,3.79,Aisle 5 - Bin 6
2269,Expanded incremental productiv Box,Soda,4.98,Aisle 5 - Bin 6
7943,Grass-roots client-driven flex Box,Health Food,2.9,Aisle 2 - Bin 7
7124,Re-contextualized web-enabled  Bar,Beverage,0.85,Aisle 5 - Bin 6
7982,Stand-alone cohesive synergy Can,Soda,3.15,Aisle 3 - Bin 2
4341,User-centric user-facing emula Box,Candy,3.59,Aisle 2 - Bin 1
5987,Enterprise-wide systemic emula Bar,Candy,0.79,Aisle 4 - Bin 8
6994,Phased scalable initiative Pack,Energy Drinks,3.64,Aisle 5 - Bin 9
7988,Multi-layered scalable artific Bottle,Candy,2.47,Aisle 5 - Bin 9
2607,Mandatory human-resource datab Box,Soda,4.5,Aisle 5 - Bin 6
3704,Cloned fault-tolerant model Pack,Cookies,2.32,Aisle 5 - Bin 9
3512,Distributed interactive instru Pack,Beverage,1.92,Aisle 2 - Bin 1
5864,Proactive even-keeled migratio Bar,Juice,3.7,Aisle 4 - Bin 2
168,Re-engineered high-level firmw Box,Health Food,1.11,Aisle 2 - Bin 1
4766,Diverse clear-thinking functio Pack,Snack,1.21,Aisle 4 - Bin 8
1588,Operative solution-oriented fo Bar,Health Food,2.19,Aisle 5 - Bin 9
1689,Centralized optimizing infrast Pack,Beverage,0.72,Aisle 5 - Bin 9
9919,Future-proofed coherent defini Box,Beverage,0.67,Aisle 2 - Bin 6
2791,Ameliorated impactful model Box,Cookies,3.91,Aisle 2 - Bin 9
2844,Intuitive mission-critical neu Bar,Cookies,0.67,Aisle 1 - Bin 1
8810,Total systematic encoding Box,Chips,1.72,Aisle 1 - Bin 9
2732,Business-focused leadingedge f Bottle,Water,2.13,Aisle 4 - Bin 2
7931,Operative logistical secured l Can,Soda,3.56,Aisle 4 - Bin 4
8543,De-engineered local archive Bottle,Soda,1.6,Aisle 4 - Bin 2
1880,Ameliorated motivating firmwar Can,Beverage,1.51,Aisle 4 - Bin 7
2753,Secured holistic Graphic Inter Pack,Chips,3.04,Aisle 4 - Bin 7
7501,Seamless hybrid help-desk Can,Energy Drinks,3.43,Aisle 2 - Bin 6
4443,Streamlined zero-defect policy Can,Energy Drinks,3.55,Aisle 5 - Bin 3
7263,Optional homogeneous adapter Bar,Juice,4.81,Aisle 2 - Bin 9
4506,Open-source upward-trending fi Bottle,Juice,2.77,Aisle 2 - Bin 1
8453,Streamlined actuating project Bottle,Soda,0.74,Aisle 2 - Bin 9
9156,Realigned motivating policy Bottle,Energy Drinks,3.77,Aisle 3 - Bin 5
479,Intuitive solution-oriented ha Bottle,Chips,2.3,Aisle 5 - Bin 9
459,Compatible web-enabled standar Box,Candy,3.82,Aisle 4 - Bin 4
2052,Grass-roots optimal benchmark Bottle,Juice,3.05,Aisle 2 - Bin 6
7376,Innovative 4thgeneration infra Bar,Candy,4.44,Aisle 4 - Bin 4
714,Self-enabling optimal database Can,Candy,1.42,Aisle 4 - Bin 2
