record_ID,payment_Type,amount_Paid
32271,Credit Card,66.62
68153,Credit Card,34.74
49853,Credit Card,8.79
56114,Bank Transfer,18.66
51632,Cash,44.24
32085,Google Pay,61.58
50829,Cash,12.36
70413,Debit Card,34.76
25191,Cash,20.11
93338,Cash,20.79
62783,Credit Card,50.13
59503,Apple Pay,15.34
57921,Bank Transfer,88.58
35894,Cash,46.36
13886,Google Pay,6.25
94015,Debit Card,9.97
63993,Bank Transfer,14.27
24228,Apple Pay,11.25
34252,Apple Pay,67.96
41052,Cash,115.28
24851,Bank Transfer,16.97
55972,Mobile Pay,46.94
17217,Credit Card,15.85
32302,Mobile Pay,90.31
12460,Apple Pay,9.7
68815,Cash,7.73
62569,Debit Card,21.8
86814,Credit Card,31.82
77950,Google Pay,22.67
73170,Bank Transfer,18.12
37178,Mobile Pay,29.5
30855,Bank Transfer,55.87
38611,Credit Card,53.02
11075,Debit Card,95.19
32534,Bank Transfer,102.86
49218,Mobile Pay,14.75
20765,Debit Card,31.0
56657,Credit Card,37.88
50440,Mobile Pay,86.06
80566,Mobile Pay,17.98
98983,Google Pay,47.04
51747,Cash,31.13
45908,Credit Card,11.71
65892,Mobile Pay,121.23
41216,Credit Card,3.69
35573,Google Pay,124.28
750,Credit Card,26.87
54412,Debit Card,19.87
10277,Debit Card,66.93
14154,Google Pay,79.64
50977,Debit Card,30.41
64510,Apple Pay,35.05
42030,Cash,17.74
83516,Apple Pay,57.47
39542,Credit Card,36.77
10593,Apple Pay,43.67
32110,Credit Card,98.74
60806,Bank Transfer,13.78
1529,Debit Card,38.29
93346,Debit Card,5.49
94010,Credit Card,2.11
36025,Google Pay,55.29
38546,Credit Card,8.51
51524,Mobile Pay,89.31
72228,Apple Pay,90.54
51697,Apple Pay,63.46
48627,Debit Card,5.24
30975,Google Pay,11.89
14667,Mobile Pay,52.18
76809,Credit Card,60.92
84700,Credit Card,2.71
86737,Mobile Pay,57.46
86262,Bank Transfer,31.45
32761,Bank Transfer,16.99
63295,Apple Pay,15.78
14127,Cash,50.67
2028,Bank Transfer,1.88
14067,Debit Card,100.37
69834,Cash,63.16
68497,Apple Pay,25.85
76261,Bank Transfer,19.81
36489,Google Pay,62.64
24375,Cash,9.91
34536,Apple Pay,15.85
53163,Mobile Pay,9.79
97566,Google Pay,129.69
44626,Debit Card,88.38
85979,Debit Card,62.38
89482,Bank Transfer,54.7
29637,Apple Pay,44.03
92732,Google Pay,67.31
93794,Debit Card,57.97
21093,Cash,49.51
99947,Credit Card,8.81
38322,Mobile Pay,63.22
64762,Bank Transfer,30.46
88204,Credit Card,37.38
9394,Debit Card,24.24
31905,Bank Transfer,8.18
55124,Apple Pay,24.64
3888,Cash,57.97
81232,Credit Card,24.1
86138,Apple Pay,39.25
39617,Google Pay,16.26
53308,Cash,112.28
37552,Google Pay,31.99
96665,Apple Pay,14.52
44718,Cash,24.59
35371,Cash,84.19
2187,Apple Pay,65.11
78477,Apple Pay,118.09
97641,Bank Transfer,12.37
21193,Credit Card,63.83
49916,Apple Pay,19.53
67306,Credit Card,9.34
60625,Mobile Pay,12.51
1155,Credit Card,39.21
22794,Apple Pay,41.5
16956,Google Pay,9.7
97531,Mobile Pay,77.07
96109,Mobile Pay,88.41
86049,Google Pay,22.35
54399,Mobile Pay,83.06
31898,Google Pay,23.53
5703,Credit Card,23.02
66919,Mobile Pay,34.64
34508,Debit Card,115.28
21638,Credit Card,89.52
53034,Apple Pay,4.04
98432,Cash,73.6
63526,Google Pay,47.52
6610,Apple Pay,10.5
85481,Mobile Pay,4.92
67739,Apple Pay,28.72
78509,Debit Card,92.34
85697,Apple Pay,13.37
62756,Bank Transfer,49.93
28506,Mobile Pay,26.15
71028,Cash,24.59
2111,Mobile Pay,3.77
7421,Apple Pay,8.13
80122,Mobile Pay,23.02
14327,Apple Pay,7.07
33049,Bank Transfer,47.75
3350,Google Pay,36.28
81173,Debit Card,24.1
25367,Mobile Pay,113.64
3935,Mobile Pay,26.58
83784,Debit Card,4.04
13568,Google Pay,53.8
44452,Cash,61.49
9604,Google Pay,13.36
63273,Mobile Pay,15.73
10926,Cash,78.05
19922,Credit Card,54.61
9273,Cash,19.03
29654,Cash,28.08
71765,Apple Pay,25.88
26278,Credit Card,24.11
19153,Apple Pay,37.33
75247,Apple Pay,41.4
70913,Mobile Pay,17.54
86162,Credit Card,65.77
93591,Cash,61.92
891,Bank Transfer,94.92
20857,Bank Transfer,46.91
36603,Google Pay,106.17
28073,Apple Pay,23.77
84404,Cash,43.19
90169,Google Pay,29.63
36390,Bank Transfer,21.73
13973,Credit Card,38.01
67568,Google Pay,54.32
84271,Credit Card,16.34
1329,Cash,9.69
71142,Credit Card,78.07
38579,Mobile Pay,37.23
77503,Credit Card,25.9
1153,Google Pay,5.47
63905,Apple Pay,7.55
58918,Bank Transfer,5.07
34590,Credit Card,12.68
48168,Google Pay,57.86
48164,Google Pay,8.68
44434,Bank Transfer,19.26
59104,Google Pay,18.26
71371,Mobile Pay,10.92
65042,Credit Card,8.71
48253,Mobile Pay,5.5
49034,Google Pay,12.72
81163,Mobile Pay,73.78
58330,Bank Transfer,23.91
34635,Mobile Pay,107.93
73965,Mobile Pay,20.9
15371,Bank Transfer,56.14
4630,Google Pay,35.93
65399,Cash,17.51
51241,Mobile Pay,35.04
33587,Bank Transfer,5.86
34336,Apple Pay,38.27
59264,Mobile Pay,57.7
66226,Cash,95.97
9050,Bank Transfer,28.44
44277,Google Pay,80.39
25546,Credit Card,47.3
51101,Mobile Pay,53.03
94336,Cash,43.67
13350,Mobile Pay,13.93
34497,Mobile Pay,25.86
21064,Credit Card,89.51
91090,Mobile Pay,10.62
92779,Apple Pay,62.52
91346,Google Pay,19.61
4409,Debit Card,23.2
26183,Bank Transfer,21.77
74864,Credit Card,39.46
72067,Google Pay,11.45
33695,Apple Pay,22.2
96624,Google Pay,83.11
54480,Credit Card,13.61
17430,Google Pay,6.23
21781,Debit Card,38.49
90010,Credit Card,4.82
44483,Bank Transfer,127.27
95750,Mobile Pay,25.57
74965,Mobile Pay,39.63
48788,Cash,28.61
65961,Bank Transfer,37.21
90918,Cash,23.64
36596,Apple Pay,13.23
99204,Debit Card,74.01
14289,Apple Pay,45.03
50546,Debit Card,59.84
37339,Google Pay,34.1
66836,Credit Card,33.71
12744,Bank Transfer,12.33
63615,Debit Card,11.33
5891,Credit Card,16.65
60887,Apple Pay,18.57
48316,Bank Transfer,23.14
26462,Apple Pay,79.45
34928,Debit Card,25.87
61677,Cash,57.5
83431,Apple Pay,16.47
50629,Cash,95.67
2101,Apple Pay,49.09
26227,Apple Pay,61.99
89948,Debit Card,2.1
17236,Debit Card,50.49
69863,Debit Card,9.93
82330,Mobile Pay,20.17
82866,Bank Transfer,1.67
14521,Debit Card,54.36
76302,Credit Card,33.83
86763,Cash,41.84
55408,Google Pay,62.58
592,Bank Transfer,25.32
75949,Mobile Pay,66.89
49453,Mobile Pay,16.42
57078,Apple Pay,5.4
24502,Bank Transfer,6.14
51924,Cash,69.55
98531,Cash,63.61
93908,Credit Card,47.81
3074,Credit Card,55.15
57626,Apple Pay,14.53
61921,Cash,61.23
65765,Debit Card,50.73
70990,Google Pay,17.13
36157,Google Pay,28.24
71718,Cash,13.17
64005,Bank Transfer,86.89
97275,Google Pay,57.7
42925,Debit Card,88.86
90485,Cash,31.53
56382,Credit Card,58.89
56789,Credit Card,44.68
29031,Mobile Pay,64.42
81010,Google Pay,3.52
2343,Bank Transfer,13.83
35722,Bank Transfer,83.74
39918,Cash,116.4
19707,Bank Transfer,19.08
51662,Apple Pay,18.3
43940,Apple Pay,28.26
91743,Google Pay,38.14
93672,Mobile Pay,17.73
74063,Credit Card,9.56
44871,Cash,12.77
95404,Credit Card,57.65
76854,Bank Transfer,17.99
74751,Apple Pay,76.08
7165,Google Pay,47.12
92224,Credit Card,52.56
83742,Apple Pay,18.0
29330,Apple Pay,24.51
37002,Apple Pay,31.11
89572,Credit Card,13.34
26694,Credit Card,42.72
38847,Google Pay,28.64
51390,Credit Card,40.22
27560,Google Pay,33.38
12816,Apple Pay,24.28
52258,Cash,81.4
75805,Google Pay,72.69
50069,Google Pay,10.52
80388,Debit Card,35.75
40819,Cash,44.41
20272,Google Pay,25.67
90920,Debit Card,25.99
8910,Apple Pay,35.32
86102,Cash,31.68
96631,Google Pay,17.44
74245,Debit Card,7.67
21501,Google Pay,16.51
79309,Cash,8.66
562,Google Pay,54.99
56151,Debit Card,94.47
86542,Google Pay,69.79
17897,Credit Card,64.85
43364,Google Pay,64.99
2193,Apple Pay,14.36
30032,Bank Transfer,35.2
86601,Mobile Pay,10.18
84783,Credit Card,65.06
47618,Mobile Pay,5.45
67121,Credit Card,90.9
56021,Bank Transfer,92.91
57751,Bank Transfer,21.56
26208,Mobile Pay,15.35
87865,Mobile Pay,104.42
12703,Cash,49.72
35519,Apple Pay,21.67
65051,Apple Pay,56.01
89048,Credit Card,9.97
30090,Credit Card,24.15
5848,Bank Transfer,113.83
69664,Mobile Pay,28.48
99955,Apple Pay,126.13
73737,Google Pay,7.56
75838,Cash,60.5
67522,Google Pay,105.34
75143,Bank Transfer,90.8
21810,Credit Card,33.46
83797,Cash,25.46
99908,Debit Card,41.06
25798,Mobile Pay,16.05
80152,Google Pay,25.81
82606,Bank Transfer,87.94
87377,Apple Pay,70.47
83814,Bank Transfer,12.65
25598,Cash,9.66
44474,Mobile Pay,20.29
68623,Debit Card,11.64
76230,Debit Card,6.35
13318,Debit Card,68.14
61336,Apple Pay,98.97
99223,Debit Card,77.82
28469,Bank Transfer,62.29
2151,Cash,30.62
5172,Google Pay,43.07
31599,Google Pay,7.71
48513,Apple Pay,101.69
65040,Credit Card,26.49
14775,Debit Card,86.93
94111,Credit Card,16.2
83581,Credit Card,9.35
25414,Apple Pay,18.26
71152,Bank Transfer,41.09
95337,Apple Pay,107.1
55755,Mobile Pay,17.44
82929,Cash,46.95
5458,Apple Pay,51.83
68792,Bank Transfer,69.99
13035,Apple Pay,26.1
48147,Cash,93.26
42733,Mobile Pay,24.87
48637,Apple Pay,121.35
95895,Apple Pay,14.65
9597,Mobile Pay,103.49
62165,Mobile Pay,70.77
39205,Credit Card,26.8
23052,Debit Card,13.81
18797,Google Pay,56.56
39956,Cash,12.69
21874,Cash,64.14
71376,Credit Card,46.58
32372,Cash,24.18
31207,Credit Card,85.11
93314,Google Pay,38.73
83689,Cash,4.03
87194,Mobile Pay,18.26
97383,Bank Transfer,5.81
58525,Credit Card,42.26
86877,Cash,69.97
79536,Cash,42.57
60018,Debit Card,67.25
16829,Google Pay,9.13
91617,Google Pay,36.21
26407,Bank Transfer,1.58
75092,Debit Card,53.11
14551,Bank Transfer,55.09
11786,Apple Pay,34.75
63600,Credit Card,48.37
9305,Apple Pay,23.73
19282,Credit Card,3.12
29974,Debit Card,84.58
87908,Google Pay,74.63
52396,Credit Card,89.16
27352,Apple Pay,6.75
86345,Apple Pay,2.41
92105,Mobile Pay,18.18
30920,Debit Card,113.07
92515,Credit Card,4.46
17356,Credit Card,51.98
22896,Apple Pay,55.78
92376,Debit Card,6.67
31642,Apple Pay,89.12
48462,Cash,93.72
68001,Mobile Pay,70.66
6524,Cash,54.13
43647,Bank Transfer,23.21
61064,Credit Card,36.1
58236,Cash,17.47
67181,Bank Transfer,46.52
71769,Cash,9.79
44885,Credit Card,12.79
92516,Cash,28.02
75940,Credit Card,98.95
21758,Mobile Pay,88.9
96169,Cash,18.28
35905,Debit Card,40.67
41733,Apple Pay,12.43
58800,Apple Pay,10.48
59140,Mobile Pay,3.78
19551,Google Pay,6.73
27166,Mobile Pay,113.47
3541,Bank Transfer,8.37
82854,Google Pay,12.84
12659,Credit Card,101.44
16588,Cash,57.88
38140,Mobile Pay,29.64
65635,Credit Card,43.03
98735,Bank Transfer,16.94
30291,Google Pay,15.54
19106,Cash,103.96
58157,Debit Card,36.36
82707,Debit Card,87.61
30559,Google Pay,12.01
10641,Mobile Pay,3.97
51842,Credit Card,2.74
5457,Credit Card,8.09
78457,Apple Pay,16.91
99806,Apple Pay,30.4
38899,Bank Transfer,2.28
11329,Cash,23.74
2547,Mobile Pay,10.61
74561,Debit Card,9.63
89148,Cash,31.17
87055,Google Pay,43.62
4159,Apple Pay,63.68
1381,Bank Transfer,21.26
44642,Apple Pay,9.4
33933,Bank Transfer,15.34
33258,Bank Transfer,54.33
98729,Apple Pay,35.66
81847,Credit Card,11.27
47009,Apple Pay,88.52
241,Credit Card,24.01
59938,Apple Pay,37.3
6712,Debit Card,16.32
95971,Bank Transfer,18.19
1059,Cash,26.13
58003,Google Pay,14.92
66589,Debit Card,6.65
58106,Google Pay,21.1
53083,Credit Card,18.91
74016,Cash,43.93
11370,Google Pay,48.68
28347,Apple Pay,9.9
47534,Bank Transfer,29.31
41898,Cash,18.9
92387,Credit Card,15.31
40010,Debit Card,3.35
88925,Cash,5.28
19873,Credit Card,40.84
25014,Mobile Pay,8.48
83714,Google Pay,12.03
78056,Mobile Pay,20.06
56763,Bank Transfer,62.05
30048,Cash,73.12
36189,Credit Card,42.86
45974,Cash,42.49
81825,Credit Card,36.44
50588,Apple Pay,35.74
75157,Bank Transfer,4.71
48541,Bank Transfer,56.64
48101,Google Pay,46.1
61311,Mobile Pay,10.18
16605,Google Pay,3.76
89594,Credit Card,69.7
18623,Cash,6.17
94989,Mobile Pay,34.21
77630,Cash,32.97
82831,Debit Card,38.0
13090,Mobile Pay,67.83
37511,Bank Transfer,52.69
59199,Apple Pay,77.88
10023,Cash,98.62
13688,Apple Pay,28.42
87483,Google Pay,127.66
75380,Google Pay,53.6
4638,Apple Pay,33.4
79741,Bank Transfer,125.12
26659,Google Pay,41.97
23053,Cash,128.66
63812,Apple Pay,51.7
85011,Cash,27.66
91069,Google Pay,25.36
2045,Cash,110.23
43350,Apple Pay,24.28
5884,Apple Pay,77.59
61443,Mobile Pay,9.57
19170,Credit Card,37.63
26248,Cash,84.22
12578,Mobile Pay,28.44
73890,Mobile Pay,76.62
99880,Credit Card,58.08
29998,Google Pay,32.28
41309,Google Pay,42.58
95255,Credit Card,29.0
39881,Debit Card,23.75
10251,Cash,50.55
78658,Google Pay,68.18
48501,Google Pay,72.45
54649,Bank Transfer,33.24
25360,Mobile Pay,44.91
31344,Mobile Pay,102.89
44243,Cash,10.23
57474,Cash,42.31
75924,Mobile Pay,28.06
82387,Google Pay,38.89
67069,Credit Card,74.26
44291,Apple Pay,35.75
46818,Google Pay,99.78
78372,Debit Card,14.3
45262,Google Pay,69.93
39556,Credit Card,55.36
3066,Credit Card,28.11
84218,Google Pay,79.68
28591,Google Pay,71.68
91469,Credit Card,21.54
12755,Google Pay,50.64
5108,Bank Transfer,38.82
53541,Mobile Pay,6.32
44305,Bank Transfer,8.27
44765,Google Pay,87.51
85404,Cash,5.26
35003,Debit Card,99.08
40405,Mobile Pay,36.91
21039,Mobile Pay,63.33
95843,Bank Transfer,10.11
67193,Apple Pay,95.13
44897,Google Pay,12.06
15450,Apple Pay,46.93
57118,Mobile Pay,36.63
5761,Mobile Pay,63.43
41881,Debit Card,2.69
36911,Apple Pay,17.16
55037,Credit Card,6.94
45488,Cash,70.11
56175,Cash,13.72
19987,Apple Pay,68.55
35956,Mobile Pay,17.03
3174,Bank Transfer,34.86
51128,Credit Card,47.1
52851,Bank Transfer,28.14
79664,Bank Transfer,51.7
42661,Credit Card,32.68
26847,Bank Transfer,22.03
14297,Apple Pay,7.58
99649,Cash,31.08
48976,Bank Transfer,17.35
57255,Bank Transfer,21.65
31312,Cash,71.46
37222,Google Pay,82.28
12941,Debit Card,20.79
6738,Credit Card,86.56
87959,Debit Card,8.02
82870,Credit Card,49.55
54227,Mobile Pay,31.92
25450,Google Pay,23.63
33113,Mobile Pay,50.15
1788,Apple Pay,18.87
9421,Debit Card,73.76
55922,Credit Card,4.67
35847,Credit Card,47.43
91481,Mobile Pay,72.18
83015,Credit Card,74.98
84327,Mobile Pay,28.41
61769,Debit Card,10.95
13457,Cash,64.55
28437,Debit Card,46.38
89996,Cash,8.75
64260,Bank Transfer,79.79
82067,Mobile Pay,90.13
21944,Google Pay,65.03
92572,Debit Card,46.55
10906,Google Pay,14.42
91463,Apple Pay,62.59
84212,Google Pay,26.77
1426,Credit Card,11.82
82693,Apple Pay,42.21
94497,Apple Pay,13.65
82560,Apple Pay,24.54
90706,Bank Transfer,72.4
73188,Bank Transfer,37.13
62350,Mobile Pay,33.38
22892,Debit Card,57.42
16654,Debit Card,3.75
33479,Credit Card,8.44
99167,Apple Pay,19.96
10192,Credit Card,16.09
31380,Mobile Pay,3.41
79250,Google Pay,9.58
9750,Credit Card,35.59
89432,Credit Card,61.16
70659,Cash,47.54
69560,Debit Card,7.64
70444,Apple Pay,13.45
20578,Bank Transfer,10.15
20124,Google Pay,43.73
20262,Mobile Pay,6.19
32359,Bank Transfer,70.13
74848,Apple Pay,39.87
66157,Apple Pay,22.6
73729,Mobile Pay,9.48
7412,Google Pay,80.68
31191,Google Pay,4.36
58694,Cash,36.24
97896,Cash,63.05
62144,Mobile Pay,48.4
41973,Credit Card,51.09
59724,Apple Pay,24.23
2218,Google Pay,30.03
67261,Debit Card,89.78
60750,Google Pay,78.35
92183,Cash,97.84
2429,Cash,91.79
11472,Cash,16.52
88929,Mobile Pay,79.3
95800,Credit Card,127.69
84305,Debit Card,32.86
32256,Bank Transfer,1.63
70754,Mobile Pay,36.99
95655,Bank Transfer,2.63
15571,Credit Card,34.44
55905,Mobile Pay,42.51
29891,Debit Card,18.46
47880,Debit Card,29.06
25162,Bank Transfer,115.49
4330,Mobile Pay,15.35
64916,Credit Card,64.06
93309,Credit Card,5.63
76125,Credit Card,16.6
17808,Cash,36.75
89592,Mobile Pay,70.61
81490,Cash,29.37
10267,Google Pay,4.66
17020,Google Pay,109.74
56875,Credit Card,11.71
79383,Cash,6.59
32525,Debit Card,51.27
44955,Cash,54.9
18753,Apple Pay,41.47
61837,Mobile Pay,51.3
42645,Debit Card,15.64
99736,Debit Card,21.85
75398,Google Pay,10.6
11871,Apple Pay,14.32
56256,Credit Card,72.98
33938,Cash,12.28
40506,Cash,98.73
23501,Google Pay,55.21
76866,Mobile Pay,65.86
34672,Mobile Pay,70.62
66483,Cash,23.41
45776,Google Pay,63.65
14682,Credit Card,59.48
19602,Cash,33.22
74103,Credit Card,64.71
43159,Debit Card,27.02
17320,Apple Pay,27.18
23479,Cash,41.89
68391,Mobile Pay,78.47
84110,Bank Transfer,58.83
18276,Mobile Pay,45.72
3707,Bank Transfer,98.71
95793,Cash,38.63
17615,Google Pay,22.73
24098,Bank Transfer,100.06
33190,Credit Card,7.55
63768,Cash,10.0
55249,Google Pay,50.35
1448,Mobile Pay,32.56
39538,Google Pay,24.33
42926,Credit Card,4.69
78425,Apple Pay,25.57
69544,Credit Card,9.44
42090,Debit Card,84.87
40049,Debit Card,48.53
18975,Cash,45.45
82626,Bank Transfer,56.85
46730,Bank Transfer,8.27
33238,Apple Pay,50.0
46657,Mobile Pay,2.71
92390,Google Pay,16.42
39431,Cash,25.97
78230,Cash,73.08
67723,Debit Card,64.07
82966,Mobile Pay,99.75
91518,Mobile Pay,19.01
35765,Debit Card,23.36
68088,Cash,15.33
76754,Mobile Pay,36.0
39059,Debit Card,90.19
47146,Debit Card,2.54
7713,Mobile Pay,14.91
57952,Google Pay,77.08
43696,Debit Card,30.55
85140,Apple Pay,12.47
74621,Debit Card,20.46
17705,Bank Transfer,14.4
11365,Google Pay,12.42
21085,Credit Card,58.35
4951,Google Pay,31.24
51283,Google Pay,5.61
49838,Credit Card,8.82
72201,Cash,35.42
23254,Cash,95.81
27691,Cash,21.18
69215,Credit Card,33.63
45672,Google Pay,2.52
54165,Google Pay,42.03
26045,Apple Pay,46.25
43359,Apple Pay,10.06
36125,Mobile Pay,10.97
65922,Credit Card,50.44
75177,Google Pay,42.05
72418,Google Pay,74.07
65642,Credit Card,35.9
44961,Google Pay,15.63
87414,Google Pay,24.12
95669,Apple Pay,44.35
65905,Debit Card,2.65
82500,Mobile Pay,7.9
60362,Mobile Pay,18.8
47222,Cash,10.54
13711,Apple Pay,55.85
20510,Bank Transfer,49.85
92427,Cash,28.75
92625,Apple Pay,25.04
58036,Credit Card,42.71
17306,Cash,59.24
64386,Cash,44.8
98803,Google Pay,28.98
