record_ID,Quantity,Cost
63646,143,559.97
65084,144,430.79
28577,40,172.12
78513,150,527.57
87738,123,113.51
99479,37,159.66
85301,95,327.92
85102,28,34.67
30289,86,145.51
29554,90,45.16
89270,119,305.99
47901,16,70.0
39176,63,202.11
16716,41,164.36
26019,92,62.18
71612,26,27.69
43235,117,109.84
34682,25,61.52
65482,54,143.69
73241,143,127.13
42694,143,122.7
55242,52,163.99
89466,147,196.01
54910,21,65.5
29324,70,294.05
72660,69,130.68
37210,42,54.96
52922,42,201.08
2707,108,309.58
77723,16,71.25
70387,80,135.05
33599,37,178.92
18068,137,672.48
70092,16,55.5
56301,115,484.06
79312,27,129.42
78382,123,106.05
23344,25,105.42
88467,125,371.89
51744,45,210.55
30311,27,45.2
78254,57,77.09
95674,41,115.16
84280,51,237.18
19091,107,500.59
95448,56,141.87
25750,138,340.49
38878,67,214.65
83960,104,243.89
31535,114,501.25
74982,140,136.61
96337,146,624.91
17864,102,345.73
81188,61,83.87
18308,117,479.14
59123,24,73.94
25000,91,199.07
10879,66,240.25
13080,23,49.34
48874,90,115.32
15471,100,95.91
13086,136,595.08
94973,99,121.15
94547,71,76.08
83548,26,97.9
27544,125,223.54
32332,88,245.65
18070,41,149.93
54083,115,540.79
63118,20,90.3
25927,37,70.1
33785,111,243.3
8286,147,151.59
42676,103,146.01
19983,146,515.47
42684,76,107.95
98844,107,179.09
76161,147,162.63
46038,50,114.87
26280,74,300.45
87552,100,114.37
46831,128,404.45
86096,108,365.01
43150,49,216.68
42685,110,380.89
41120,70,275.76
25555,19,63.18
10555,105,300.74
53206,60,112.81
21875,145,456.63
33570,90,81.38
30434,128,439.79
52180,109,395.03
72378,31,94.77
83801,31,101.4
95366,69,145.45
87152,148,725.78
31156,36,165.55
83320,96,113.53
12127,94,187.73
47216,138,508.04
59537,135,493.44
63005,89,407.08
32042,57,141.37
2013,148,391.15
72682,47,215.53
58240,82,254.72
18815,124,229.52
55915,101,131.87
54167,93,410.53
60733,96,76.56
31658,19,38.07
52177,122,167.54
80667,74,226.77
8249,138,251.45
24957,93,449.7
73499,11,38.36
97355,140,340.51
37317,13,43.28
58793,51,172.22
17645,136,265.58
75053,61,299.37
60035,115,424.25
68260,89,376.01
68541,12,58.27
45243,51,117.17
72189,127,259.23
3781,58,289.54
86584,20,69.83
35215,144,496.44
22062,127,294.21
29444,133,119.24
95005,42,45.83
31421,114,486.61
66615,114,323.51
91670,56,231.84
86081,99,202.54
16807,95,196.52
79402,79,165.54
87023,130,312.21
72368,145,291.39
88428,50,188.74
17093,84,70.53
43833,18,38.53
632,50,153.03
37490,81,367.46
7568,120,285.32
42770,22,78.46
4775,106,216.84
40066,41,159.01
67221,88,126.43
66186,34,19.36
99982,129,530.04
29076,140,296.86
84182,124,122.08
11173,134,306.53
33015,125,596.28
19734,73,125.48
60473,140,362.7
11659,103,248.27
27545,41,69.32
48434,13,6.63
12921,78,301.67
77223,31,24.22
22365,36,66.4
89871,142,571.06
68510,107,526.75
37703,94,342.34
14996,51,166.45
38796,94,383.1
40571,76,237.3
90173,83,319.35
80003,55,256.02
96567,69,210.27
27381,149,113.69
89303,32,83.0
72443,33,121.48
97403,13,38.37
1056,62,263.7
44564,26,34.01
96411,83,318.28
52437,123,494.8
90496,122,132.97
69419,98,117.95
96469,108,263.15
63814,30,95.57
87415,27,128.53
66467,28,42.13
74512,39,50.8
71338,128,113.83
63068,123,391.86
20122,40,48.54
96563,106,139.15
50049,97,404.98
60014,55,187.8
18831,11,24.34
54212,20,85.6
99061,64,83.33
94625,58,106.19
22549,135,449.06
85234,105,323.87
46520,135,371.7
80636,133,122.97
95260,50,116.91
83406,88,266.71
75337,90,210.78
74450,122,363.37
44568,124,300.54
49355,114,103.7
21770,122,330.6
42697,144,122.12
15699,72,134.09
79799,89,102.99
41018,16,60.13
93298,107,323.43
16676,106,138.64
12788,135,82.67
91072,44,139.32
12426,96,402.15
14662,122,481.46
11201,17,73.69
63565,84,175.4
75465,87,89.35
43850,120,111.46
37202,106,419.0
37380,43,210.04
40265,62,219.02
41871,138,399.24
84071,38,173.1
20324,29,110.99
43635,51,155.46
22033,126,133.56
4315,34,118.41
7189,83,94.54
20802,68,106.92
65446,141,183.04
8411,82,364.83
62292,93,138.62
85596,46,98.55
39680,131,632.25
31324,115,85.9
69786,59,242.77
62251,144,97.59
71014,97,107.57
72286,136,392.0
98612,119,92.4
25865,94,359.89
42974,44,132.37
84625,23,100.83
90693,76,180.61
76732,63,245.34
11591,38,68.32
68246,19,63.32
17081,57,81.19
27431,11,47.36
24236,14,64.76
88994,27,76.41
24699,144,556.75
1333,150,488.67
42970,141,523.82
74748,150,717.84
89590,44,37.85
11572,80,263.62
68722,104,221.81
83510,47,82.38
32654,68,230.41
17489,109,121.15
15424,100,448.1
63568,26,59.63
91837,47,125.56
97083,36,144.64
26122,107,365.73
93760,60,87.25
1612,129,422.44
77988,95,289.97
44200,107,403.63
14057,119,300.95
211,125,537.47
37583,87,165.7
35259,52,103.09
30957,14,28.44
80351,64,119.15
26498,125,427.63
64851,121,558.26
13202,144,172.88
21164,48,137.23
83068,135,99.59
36111,141,78.75
63885,105,135.31
25092,57,188.16
90413,22,18.15
67336,141,211.53
95493,37,121.71
11058,100,424.55
58772,75,77.52
52367,30,65.06
312,86,118.56
86347,13,21.1
99151,65,305.11
24626,81,213.92
72732,121,402.82
80954,124,218.83
29198,142,650.82
92007,61,249.23
38864,119,548.79
47922,70,252.31
49379,40,31.7
4557,32,94.7
35361,82,144.61
86235,69,164.89
58150,106,156.14
74219,65,226.95
40448,136,205.2
5369,145,250.21
1545,53,104.5
9758,61,229.59
85589,124,269.77
88669,80,87.0
35636,132,293.31
47385,99,213.86
94279,58,270.63
75466,101,343.16
79093,118,179.07
51293,33,106.31
2608,117,115.99
42586,118,65.65
76613,19,79.41
64806,124,577.97
81050,25,110.78
61310,40,53.8
70395,96,147.16
735,25,114.88
13522,101,214.54
16513,122,65.99
50677,10,11.86
12212,112,415.8
36205,19,14.95
19748,53,92.39
26706,90,409.97
80386,96,169.15
91205,30,25.25
16236,83,235.13
65751,43,87.08
19155,39,153.34
38055,59,209.33
35054,56,257.6
54630,39,108.45
79749,28,69.27
53769,98,54.45
39322,143,124.16
77057,51,59.31
98007,30,137.07
15609,97,203.69
94237,32,60.0
3953,32,30.04
53305,27,77.81
99899,149,358.4
26194,81,215.56
31790,65,179.14
82045,102,208.85
28201,119,544.9
51446,48,114.4
86712,14,49.83
61811,72,315.82
74503,11,52.47
54513,73,173.14
22925,17,77.53
40578,10,16.74
61137,15,17.61
27440,125,459.98
57065,124,397.73
77718,135,171.43
23041,88,220.77
35853,14,41.39
76013,46,128.53
76467,82,351.29
81608,87,275.45
70167,135,191.54
37744,68,177.73
28940,92,452.65
20235,78,288.15
20918,111,394.11
82699,119,411.81
47439,14,65.69
90814,112,131.4
42185,68,291.2
73540,29,60.99
77702,54,267.74
72246,39,111.63
83304,84,256.34
1777,106,308.15
3976,25,15.08
81698,51,161.46
33441,93,239.34
42687,88,187.89
215,104,415.59
18810,86,309.38
85832,83,125.08
77913,115,288.93
64585,145,92.66
13934,74,169.54
19199,49,29.49
41522,110,524.47
95240,145,149.94
4443,114,420.04
21670,32,156.67
11041,81,117.29
72783,44,186.73
53418,53,59.11
717,94,122.53
96325,39,43.86
9588,43,134.35
61716,132,567.46
30323,99,208.19
13746,82,282.0
83946,19,30.46
73172,65,158.41
30125,44,199.78
53531,146,695.59
83847,128,272.41
21310,41,135.99
77549,37,137.82
66595,116,370.45
96403,40,138.77
99311,105,478.95
22004,37,77.44
59354,32,115.88
41686,48,49.05
49139,38,61.89
84512,51,243.88
57524,150,343.69
52625,11,16.56
17885,47,76.43
20008,87,126.54
66953,80,232.21
80701,14,60.37
14930,59,47.26
31255,106,151.24
6692,146,444.95
25698,93,62.41
15329,61,113.34
36494,74,356.75
69941,66,307.89
31807,34,21.14
98076,17,54.68
2419,150,340.67
47204,37,178.49
66343,65,306.05
36752,90,227.13
63312,31,18.88
47713,118,208.99
1417,122,262.62
77708,101,384.15
52769,137,472.99
99969,136,241.54
70556,16,34.28
98893,108,536.54
47593,52,244.5
15027,150,618.07
21062,24,114.42
72755,27,51.59
92375,55,159.57
65230,89,118.36
2663,121,441.3
2208,87,211.91
53866,136,458.04
94627,123,351.26
52090,16,58.94
97241,39,180.57
47032,77,200.71
43141,70,334.53
93097,72,201.4
61797,17,64.39
26579,48,118.88
88364,98,418.39
35226,64,85.24
71103,90,265.54
37658,37,25.71
35255,105,492.24
97700,18,45.86
50775,63,257.7
32441,78,307.15
59249,80,71.34
6477,39,141.82
27455,84,335.1
64870,39,185.33
15639,42,103.5
52979,16,47.31
19086,44,153.0
57654,90,122.26
10390,130,573.08
44980,110,62.38
72488,15,41.13
59087,132,364.14
62500,48,200.52
2974,29,120.05
68371,149,115.67
30322,92,105.08
991,22,45.25
12280,58,190.28
1346,45,56.96
24248,34,62.55
3328,63,204.04
61565,144,620.52
59498,113,79.93
79964,134,267.76
30745,125,163.13
68941,102,496.07
80914,29,36.75
85081,35,94.44
21145,146,492.81
26909,22,68.94
80562,147,691.08
14324,27,26.79
51389,47,169.89
96507,28,84.16
62685,93,452.13
69123,46,214.31
74726,14,44.9
90161,93,128.54
18533,41,97.32
64690,66,174.65
44636,32,141.97
74981,122,604.26
20151,60,275.92
69739,107,235.28
31480,128,564.23
44367,132,637.25
39757,120,258.13
2433,17,25.3
47140,18,55.96
26568,76,349.63
44408,50,205.92
68368,29,41.62
8516,23,64.69
14718,35,129.81
41015,121,434.94
28784,63,138.6
52510,26,108.54
64929,140,689.59
27821,96,244.38
80197,116,162.95
49100,105,264.1
24565,69,250.51
4642,75,144.37
52915,23,11.93
31482,16,48.46
58531,80,300.44
36525,110,93.18
93246,62,243.98
74331,54,248.31
75715,36,177.93
11076,98,62.33
47826,147,341.73
48284,48,229.2
61714,103,262.96
21055,132,302.95
27027,91,448.07
88143,147,478.75
90406,72,333.54
70535,128,321.87
52160,123,543.73
40428,109,125.35
48289,111,202.66
66806,143,219.77
47565,36,146.73
28547,55,180.16
89158,132,127.69
1754,60,58.58
60382,79,108.5
60397,98,365.38
90915,50,151.25
37460,99,453.18
62478,71,190.54
90798,86,422.98
38064,23,15.06
18584,67,328.93
39637,70,123.9
91591,81,52.51
71068,60,261.51
22374,84,44.66
65039,36,153.05
13489,33,97.14
44028,30,95.35
62829,113,83.1
59127,111,535.07
41070,111,451.26
21475,119,525.16
68622,105,185.04
25996,59,197.16
54181,115,389.71
53555,24,105.82
12265,38,62.03
68080,55,121.29
32211,108,83.97
46114,97,279.87
59623,18,10.27
54123,117,192.23
673,12,48.56
67440,100,267.65
14362,67,240.79
66359,29,54.79
4100,64,287.5
4097,141,406.14
46014,83,47.32
89472,100,148.69
94056,45,98.87
81407,115,176.54
85010,44,66.85
53969,58,169.97
3557,148,246.72
89429,87,138.75
97840,65,184.48
31880,113,353.49
64481,96,212.09
88626,148,75.31
64309,137,376.51
99249,79,322.8
92217,102,232.04
92776,43,72.3
4380,102,269.8
69532,73,251.15
19381,18,57.5
7461,23,109.19
49423,64,179.96
50881,116,383.09
24886,127,186.8
18801,26,126.78
15991,40,128.79
45935,78,265.49
31020,131,510.68
38183,15,11.02
4404,86,366.76
27178,45,126.47
96101,117,266.05
41071,94,427.07
47623,42,199.77
1392,39,124.84
17492,78,73.29
36104,44,155.39
23534,66,305.04
28445,81,236.8
41826,16,59.34
66523,126,585.34
13396,76,298.9
33867,33,27.09
51818,97,172.61
73799,114,349.96
35445,79,60.79
41697,20,17.97
19620,136,216.75
52938,133,310.51
89433,108,528.05
13651,130,437.15
8005,99,340.33
80447,84,302.34
38531,103,321.34
55114,14,66.08
89063,10,32.1
15762,145,323.27
44027,48,125.58
89716,105,313.55
14901,83,323.07
5905,85,192.45
5789,108,272.27
855,90,205.6
37517,114,192.37
36496,68,280.11
63616,102,139.66
76399,123,398.61
92487,75,256.13
96914,85,266.33
83978,59,169.78
77629,150,741.14
49913,30,127.81
56482,83,226.44
22899,53,111.64
51957,94,192.52
56620,107,68.07
4485,54,69.42
76961,82,332.75
29846,105,422.7
40220,31,104.6
62095,10,6.56
34016,141,687.93
58486,103,268.29
17660,124,576.57
40143,90,221.85
55213,48,113.73
64884,146,163.63
29837,96,74.64
57747,149,424.7
36008,57,156.73
8456,33,130.32
46611,135,395.81
66179,33,151.15
20798,52,228.82
70632,57,126.84
19613,147,673.73
77825,110,57.33
33228,150,731.95
39425,63,310.65
70821,137,139.8
84382,61,65.85
6037,89,308.58
6653,110,256.49
62080,120,592.67
36542,137,554.92
17532,70,176.49
74874,127,571.92
59265,10,36.68
94844,54,164.07
22507,102,215.7
34893,28,20.47
70561,12,31.31
98289,59,158.09
75990,31,111.56
32884,98,178.1
55570,87,293.76
26556,67,64.66
41184,24,57.18
44126,93,84.48
7163,86,417.44
28164,97,359.03
79167,68,327.83
36512,12,58.0
84734,123,576.78
15421,140,475.25
3349,125,586.98
24037,85,181.4
41744,62,58.74
25244,102,154.3
58909,62,125.04
47642,147,523.29
67335,134,369.01
14785,141,532.58
36459,149,323.96
28011,15,46.2
91848,81,104.71
30717,12,10.05
95910,80,146.06
49544,82,190.99
49018,126,341.5
1372,133,74.75
7012,42,197.47
95221,11,10.28
99625,84,249.36
7320,101,108.38
4199,35,155.92
59063,41,43.7
83825,90,50.46
51893,81,295.9
72542,53,174.41
16914,62,186.14
49766,118,95.36
75898,77,97.77
447,83,279.61
27021,42,73.0
51690,62,75.09
63100,75,79.67
70985,140,157.95
86865,73,171.03
88132,58,265.18
73578,75,122.33
15925,117,526.77
71636,143,145.07
79323,25,72.07
62371,94,425.75
30264,26,80.43
72984,127,189.83
24678,62,99.82
6261,84,316.97
21031,33,90.82
3320,47,163.16
52969,149,341.97
83188,25,95.92
11038,43,74.28
78728,108,234.16
52236,91,172.68
23262,94,195.08
52716,118,573.57
99101,74,307.75
62860,99,81.04
12497,53,86.39
43421,102,231.89
29850,131,73.41
67302,101,487.81
76103,126,525.4
89391,116,421.05
33231,24,115.46
47506,33,78.12
6218,30,23.97
41016,147,229.47
44608,29,93.75
679,83,341.15
11970,116,212.05
68321,35,67.72
7450,37,60.61
65421,33,126.72
53606,137,581.58
26641,10,23.0
75278,40,69.99
30198,31,146.51
56949,12,42.87
6147,107,149.96
53393,145,144.96
95323,42,114.05
30384,26,105.28
86776,54,153.36
93111,45,107.6
78022,130,435.83
34422,60,161.75
15272,75,352.04
86429,121,188.77
59011,84,315.7
33487,134,515.91
43294,40,68.99
44895,55,133.71
90476,52,229.33
74640,77,74.27
78680,47,46.32
54335,84,59.7
8324,100,128.52
19989,18,13.46
39669,37,34.34
46401,86,343.4
7945,123,235.99
24769,21,33.57
35567,108,532.68
87585,86,45.89
72151,141,643.73
28348,75,81.46
30051,119,124.45
65985,43,77.32
65194,118,569.05
11034,62,83.32
21159,122,531.72
26438,136,473.12
88719,51,162.06
46389,106,96.52
45368,136,454.09
26741,66,238.19
21128,84,412.8
74674,123,440.14
95322,75,277.35
52798,70,149.73
8590,114,197.34
77668,70,76.57
10725,105,240.19
87389,43,49.06
69866,62,270.95
23904,111,311.08
71097,118,504.57
42608,139,210.11
76063,31,66.11
76768,22,65.36
97957,16,38.51
63777,131,195.26
38493,18,51.03
53688,132,81.58
46148,49,203.36
42160,119,478.86
30029,41,58.75
44105,141,622.05
3026,138,488.12
37113,51,37.07
46391,57,135.1
66927,36,156.94
21799,54,144.51
73998,65,297.76
10169,104,168.31
47332,86,157.27
9065,117,513.04
34938,45,218.14
798,92,447.17
11673,23,27.43
94474,113,413.1
66557,105,384.26
41559,40,178.7
70159,142,210.97
5770,14,64.46
1144,54,109.44
37279,78,266.73
76311,46,201.52
21742,64,152.3
64245,34,98.81
51365,86,257.85
90052,132,361.85
98231,70,108.1
43988,146,547.33
34606,17,83.33
49804,82,408.33
45628,51,193.94
49517,116,303.99
55720,95,380.38
45046,135,178.18
89587,66,170.75
77593,142,266.93
99388,127,387.53
20878,103,110.32
45771,148,545.41
53520,31,90.56
67428,134,143.77
63861,109,166.64
93691,70,152.82
89808,12,29.72
15663,12,25.55
26115,113,92.88
32572,25,44.81
42002,104,491.3
16282,46,45.87
51183,101,471.91
90841,21,19.13
37454,56,135.29
5560,62,220.21
25091,44,56.91
31103,70,77.58
67769,32,64.79
92719,98,298.89
84686,53,187.16
17231,44,179.51
90277,16,68.87
60723,84,260.69
10680,45,214.04
21582,123,478.58
39849,100,91.48
36835,22,64.64
10662,123,510.46
51568,35,135.05
57821,41,192.22
44597,118,224.25
6366,145,337.68
8043,67,320.07
62187,110,441.39
34933,61,109.03
90139,128,162.78
73134,90,322.37
84097,13,43.02
12440,107,332.44
76167,80,194.5
25034,114,370.2
20936,100,109.04
90820,30,137.14
52335,124,340.52
74115,77,175.6
74022,59,119.69
69850,82,226.56
63097,123,189.19
19275,137,320.87
78414,145,167.02
20714,123,606.33
26660,124,611.46
89786,11,29.07
17142,12,32.61
78166,89,159.29
88633,21,10.84
48464,86,156.92
71241,90,191.61
94113,28,77.44
41206,39,99.25
88674,26,40.58
39119,72,220.57
42250,88,256.98
25126,125,550.21
67255,80,145.93
17593,109,409.69
13929,100,241.38
58203,26,63.53
30366,59,122.62
64503,69,304.68
123,123,97.13
11207,53,52.89
73391,23,97.08
62352,146,393.55
32529,93,414.59
90618,133,366.73
60516,57,126.04
75771,36,179.02
87219,16,38.1
39468,139,279.28
75992,128,480.41
4794,88,64.47
59380,104,497.13
98195,90,434.31
18498,101,400.73
16267,36,147.72
79047,30,115.37
23634,82,70.42
10751,104,86.58
57769,116,578.03
64460,21,87.18
46381,78,335.1
39128,115,347.44
47225,23,105.07
25875,30,52.73
50735,141,550.52
32063,84,140.71
44535,123,613.06
43301,27,108.62
38887,50,60.0
86325,94,441.92
19497,98,397.91
28820,39,160.69
9620,38,130.17
900,48,26.32
79730,110,514.05
1620,42,86.49
88514,131,392.87
23187,25,77.23
64045,124,383.79
80118,147,81.5
85873,145,200.31
64722,118,101.41
2564,14,38.89
10130,113,500.17
57936,148,77.67
6932,93,426.73
35394,25,46.19
83300,78,51.64
19301,89,299.34
77936,68,322.62
54215,134,124.47
15087,124,186.7
81330,49,24.92
6311,126,206.19
98430,54,27.23
44403,49,132.71
55255,140,75.73
27221,60,77.58
83747,147,567.34
30827,34,112.04
20693,133,628.32
42665,74,315.78
13441,13,44.62
34929,112,359.3
35209,64,281.37
82156,30,148.74
984,13,27.18
74351,86,120.21
57622,80,268.16
65583,61,84.32
1403,44,199.81
5682,149,190.87
28656,53,167.58
37201,75,99.28
52903,14,12.09
13398,52,162.56
19228,74,220.3
59649,82,134.91
86125,21,10.57
79835,81,82.96
21603,47,63.55
88833,86,112.74
11289,63,198.3
47861,31,58.38
80336,130,318.42
72214,118,490.1
85818,109,479.52
64833,27,105.63
34026,134,668.41
88734,148,506.89
76051,147,525.16
44549,54,194.27
68508,51,42.18
40046,76,199.72
74579,119,365.19
399,125,215.85
860,118,547.68
13753,131,439.56
33459,88,206.79
96311,71,68.59
64813,104,93.43
34930,85,340.25
18315,93,307.87
45238,66,270.63
25369,116,556.07
40851,101,266.88
89336,11,5.84
85664,26,32.03
58399,43,138.01
10955,76,301.35
32125,16,51.9
67963,16,59.86
70986,84,245.2
98163,122,154.2
10009,97,255.94
13194,64,110.72
82998,54,226.37
17209,56,265.52
48410,35,79.92
31268,76,88.99
22061,139,119.15
51992,65,141.7
67250,68,173.06
52671,25,68.79
82062,150,154.62
64203,106,145.09
34485,93,449.66
52029,97,479.62
4421,139,672.62
89989,21,96.38
60149,119,246.44
5518,57,74.89
21160,34,33.65
79137,35,121.08
96814,108,487.33
17404,104,190.07
8936,21,78.56
59353,105,97.89
29442,71,213.48
76728,27,120.85
31888,95,285.92
4518,53,93.16
13186,116,491.56
79859,141,145.72
98056,34,78.41
58596,144,661.78
30625,106,317.8
59431,29,59.93
44657,24,54.3
51655,105,288.86
40597,14,32.89
1792,77,362.43
30908,113,382.0
50620,149,715.38
16860,20,21.14
6208,59,239.39
1725,29,135.1
52354,97,349.76
59759,121,252.78
2748,113,198.12
37420,96,113.48
95789,81,94.25
54422,139,407.61
24364,18,69.39
75882,125,423.27
67107,37,106.74
12456,110,412.27
30987,30,102.59
88440,19,22.79
78229,85,43.42
65199,54,213.97
82351,30,91.46
15566,79,281.63
53940,34,62.27
10498,63,133.26
70723,140,214.71
77705,51,60.91
9759,35,68.34
1533,102,79.21
67546,64,171.3
77823,146,337.76
58000,129,231.82
821,104,212.2
42520,78,252.18
39120,69,48.93
2952,129,236.8
9700,125,300.62
38190,100,375.46
56643,89,352.17
30190,34,169.93
53923,32,58.87
95049,121,455.45
6453,127,85.76
18622,70,237.18
99182,121,458.39
77415,107,438.39
90498,144,307.69
43493,50,170.56
63016,132,553.83
74707,138,110.89
97174,62,37.42
24491,24,14.82
1706,113,195.37
49826,16,64.22
22756,16,27.99
27658,27,40.45
16981,21,11.73
12812,45,150.4
82878,119,99.44
53549,94,167.03
75868,46,83.55
42241,76,56.35
38101,97,241.33
76852,103,492.62
59319,22,40.61
73824,142,567.35
92627,53,163.6
3071,103,200.45
11200,92,225.81
17068,102,285.37
68662,131,419.28
28168,11,40.04
83789,99,262.91
58606,102,135.49
96945,144,433.94
26593,69,296.26
46231,77,209.54
8295,103,219.02
55227,148,81.74
46007,146,435.17
10030,102,253.22
15764,83,315.68
77960,33,33.16
6809,58,74.69
29854,44,62.54
85372,136,150.2
52033,10,48.21
14661,32,24.73
34612,102,284.0
95217,95,469.83
15097,90,212.56
39056,24,88.96
94618,139,600.89
10010,42,139.07
86715,14,49.86
8312,39,174.95
91547,32,59.25
56494,95,185.96
8003,80,63.2
85237,80,368.07
46710,149,598.6
84160,115,118.33
