machine_ID,Status,purchase_Date
VM4306,functional,2023-08-05
VM4939,decommissioned,2024-10-06
VM6922,decommissioned,2020-05-23
VM1504,decommissioned,2022-01-07
VM6015,decommissioned,2022-02-26
VM9438,repair,2020-10-06
VM2493,repair,2021-07-18
VM6737,repair,2021-05-06
VM6610,decommissioned,2025-05-20
VM1351,decommissioned,2020-06-02
VM4090,repair,2021-08-16
VM8169,repair,2023-10-27
VM5234,functional,2021-10-26
VM6735,repair,2022-08-30
VM1880,functional,2020-09-07
VM9573,decommissioned,2022-03-29
VM2058,decommissioned,2021-12-25
VM2598,functional,2021-06-22
VM9189,repair,2021-05-11
VM2266,repair,2020-03-22
VM1233,functional,2023-10-04
VM8492,decommissioned,2025-03-03
VM1546,decommissioned,2020-03-20
VM9816,functional,2020-10-21
VM7360,repair,2021-03-12
VM1322,functional,2022-12-21
VM3238,decommissioned,2023-01-22
VM8774,decommissioned,2024-04-25
VM6453,decommissioned,2022-12-29
VM1071,decommissioned,2025-05-08
VM5543,repair,2022-10-07
VM3302,functional,2022-03-14
VM2191,functional,2020-07-11
VM7793,repair,2023-01-21
VM4881,functional,2025-03-31
VM3736,repair,2024-12-20
VM3101,decommissioned,2023-04-04
VM6149,decommissioned,2021-01-02
VM9058,repair,2021-09-08
VM5650,decommissioned,2022-03-21
VM4543,repair,2023-09-13
VM5870,repair,2024-08-02
VM7079,repair,2023-02-12
VM6910,decommissioned,2024-06-28
VM8020,decommissioned,2024-06-05
VM8387,decommissioned,2021-12-30
VM6012,decommissioned,2023-07-06
VM6568,functional,2020-02-29
VM7120,repair,2022-02-17
VM1237,decommissioned,2020-02-28
VM7202,functional,2022-03-06
VM5486,functional,2024-06-27
VM7620,decommissioned,2020-06-06
VM5973,decommissioned,2022-11-03
VM3582,decommissioned,2020-05-05
VM9028,repair,2024-05-26
VM1251,functional,2021-11-05
VM6810,decommissioned,2024-09-06
VM1559,decommissioned,2020-09-20
VM9230,functional,2020-06-24
VM1628,functional,2020-12-30
VM6051,repair,2021-10-08
VM9389,functional,2025-01-30
VM4892,decommissioned,2024-02-11
VM8750,repair,2023-02-01
VM6280,decommissioned,2021-03-03
VM3808,decommissioned,2021-03-17
VM9761,repair,2024-10-26
VM7015,decommissioned,2023-05-08
VM6360,decommissioned,2020-10-18
VM8615,repair,2022-09-24
VM2479,functional,2024-08-05
VM9131,decommissioned,2022-09-05
VM3290,decommissioned,2025-09-13
VM3532,functional,2022-05-07
VM1279,functional,2021-01-25
VM8494,decommissioned,2023-04-14
VM5560,repair,2022-11-20
VM7215,decommissioned,2023-11-27
VM7830,repair,2024-02-02
VM8741,repair,2022-11-06
VM2574,decommissioned,2020-11-11
VM1067,functional,2021-09-05
VM5764,decommissioned,2020-08-17
VM9278,decommissioned,2025-02-16
VM3577,decommissioned,2023-02-02
VM4035,decommissioned,2022-03-10
VM8131,functional,2025-10-14
VM9371,decommissioned,2020-10-13
VM7737,functional,2023-02-17
VM4851,functional,2021-02-04
VM7865,repair,2021-02-22
VM8771,repair,2021-09-03
VM7236,repair,2022-07-03
VM8871,repair,2023-09-13
VM7180,functional,2020-02-29
VM6255,repair,2025-01-04
VM5790,repair,2020-11-10
VM2040,decommissioned,2025-05-20
VM7075,decommissioned,2024-02-29
VM6162,repair,2024-05-18
VM6493,repair,2024-02-22
VM2521,repair,2025-10-13
VM5251,functional,2020-09-20
VM3230,repair,2024-10-19
VM8394,decommissioned,2020-03-22
VM1593,decommissioned,2023-01-14
VM8457,repair,2024-02-12
VM4096,functional,2023-03-27
VM7815,repair,2020-08-27
VM6431,repair,2020-12-15
VM9930,functional,2022-03-24
VM5917,repair,2022-02-23
VM2133,repair,2022-12-05
VM9495,decommissioned,2021-12-16
VM1263,decommissioned,2025-01-11
VM5717,functional,2025-08-01
VM4292,functional,2024-11-20
VM9657,decommissioned,2021-01-29
VM6117,decommissioned,2020-03-01
VM5929,repair,2025-09-18
VM3822,functional,2025-01-28
VM6509,functional,2022-08-27
VM4647,functional,2021-02-04
VM6829,decommissioned,2025-11-11
VM4400,functional,2025-11-11
VM5317,decommissioned,2024-01-16
VM7255,repair,2024-01-04
VM1917,decommissioned,2025-09-01
VM7487,repair,2020-01-03
VM1718,repair,2022-09-19
VM5197,repair,2020-03-28
VM6479,repair,2025-01-28
VM1058,repair,2024-03-07
VM3242,decommissioned,2021-10-18
VM1858,functional,2024-07-15
VM1820,decommissioned,2021-07-12
VM4646,decommissioned,2023-01-05
VM6623,repair,2024-11-24
VM8993,decommissioned,2023-01-01
VM1582,repair,2020-08-22
VM1783,repair,2020-03-26
VM8566,repair,2022-08-14
VM6605,repair,2022-02-11
VM9020,functional,2024-08-16
VM5488,repair,2021-12-23
VM3628,decommissioned,2021-08-31
VM4858,functional,2025-03-26
VM2335,functional,2022-10-09
VM3189,functional,2021-10-28
VM1523,repair,2022-01-20
VM3356,functional,2024-07-01
VM9066,decommissioned,2024-11-16
VM8416,functional,2023-08-24
VM8168,repair,2023-05-16
VM7348,functional,2020-01-04
VM9529,functional,2021-10-26
VM6211,decommissioned,2025-01-31
VM1185,repair,2021-04-07
VM3156,functional,2021-12-06
VM8114,functional,2024-07-24
VM4666,decommissioned,2023-10-30
VM5176,repair,2025-09-14
VM3625,decommissioned,2020-09-24
VM5171,functional,2024-10-03
VM5394,functional,2023-10-10
VM1275,repair,2020-06-26
VM1545,functional,2020-06-07
VM5258,decommissioned,2023-05-26
VM1637,decommissioned,2021-11-18
VM6951,functional,2024-06-14
VM2514,functional,2020-04-14
VM7819,repair,2022-01-15
VM2180,decommissioned,2020-09-09
VM1906,repair,2023-08-09
VM3409,decommissioned,2023-12-04
VM2003,functional,2024-01-04
VM4273,decommissioned,2025-07-17
VM6497,repair,2023-09-11
VM5255,decommissioned,2025-05-23
VM5112,decommissioned,2025-03-15
VM9531,repair,2020-02-25
VM9185,decommissioned,2020-09-23
VM5422,decommissioned,2025-08-18
VM8551,repair,2021-10-16
VM6536,functional,2022-08-22
VM7978,repair,2025-07-08
VM5801,repair,2023-05-01
VM1232,decommissioned,2025-03-01
VM1146,functional,2021-01-16
VM2160,functional,2023-12-10
VM2845,decommissioned,2022-08-28
VM4969,decommissioned,2022-06-30
VM3954,decommissioned,2022-06-24
VM5430,repair,2023-12-19
VM8298,repair,2020-11-14
VM4748,repair,2020-08-25
VM3442,repair,2021-09-09
VM7738,functional,2022-11-21
VM2421,functional,2020-09-28
VM5286,functional,2025-03-10
VM9722,repair,2024-09-04
VM7372,decommissioned,2024-07-09
VM7745,repair,2025-05-31
VM3476,repair,2020-08-08
VM3083,repair,2023-09-13
VM1196,functional,2020-05-09
VM6116,repair,2024-12-26
VM9343,functional,2024-07-06
VM1046,decommissioned,2021-10-09
VM7821,functional,2025-08-16
VM6288,functional,2020-04-09
VM7153,functional,2022-10-28
VM3957,repair,2021-06-20
VM9047,functional,2021-05-21
VM9315,repair,2025-06-04
VM8879,repair,2024-06-30
VM7047,repair,2023-09-18
VM5194,repair,2021-05-20
VM3243,repair,2023-08-10
VM2772,decommissioned,2023-08-24
VM6614,decommissioned,2022-12-25
VM6941,functional,2023-01-09
VM2483,repair,2025-05-01
VM7266,repair,2023-07-24
VM9486,repair,2022-07-11
VM6574,repair,2025-03-30
VM9734,repair,2020-12-25
VM3111,functional,2020-07-28
VM4972,decommissioned,2023-09-08
VM3396,functional,2024-04-03
VM2275,repair,2021-11-11
VM5438,decommissioned,2023-05-25
VM7028,decommissioned,2024-04-28
VM3028,repair,2025-05-15
VM4556,functional,2022-09-12
VM6730,decommissioned,2024-01-03
VM4491,functional,2024-09-19
VM3774,repair,2021-05-09
VM8572,repair,2024-09-01
VM8057,functional,2021-03-25
VM4249,decommissioned,2024-08-26
VM3838,repair,2021-04-16
VM2960,functional,2024-09-18
VM8917,decommissioned,2021-05-23
VM9024,repair,2025-01-15
VM6209,decommissioned,2023-04-24
VM5044,decommissioned,2024-01-13
VM3934,decommissioned,2025-02-19
VM6621,decommissioned,2024-03-22
VM4896,functional,2025-04-03
VM6694,decommissioned,2024-06-20
VM4166,functional,2025-09-18
VM9266,decommissioned,2021-07-03
VM9363,functional,2025-02-06
VM9411,decommissioned,2025-04-06
VM1658,repair,2024-04-25
VM5191,decommissioned,2022-03-26
VM9873,decommissioned,2021-03-04
VM5106,decommissioned,2025-07-06
VM7967,decommissioned,2020-12-17
VM9253,repair,2021-11-08
VM2501,decommissioned,2023-12-03
VM6683,repair,2023-06-26
VM6028,repair,2023-03-01
VM3255,functional,2020-12-11
VM6452,repair,2022-04-06
VM6164,decommissioned,2022-09-08
VM1093,repair,2025-02-17
VM1810,repair,2022-02-23
VM6915,repair,2022-06-09
VM6425,decommissioned,2025-01-02
VM5570,functional,2021-06-12
VM6868,decommissioned,2024-05-14
VM8875,repair,2023-10-20
VM9458,repair,2023-05-31
VM3754,decommissioned,2025-02-26
VM4074,repair,2022-07-30
VM3810,functional,2023-06-08
VM4683,decommissioned,2023-12-11
VM5026,repair,2020-10-15
VM1086,decommissioned,2023-06-29
VM4962,repair,2021-02-20
VM8392,repair,2024-11-30
VM8538,functional,2024-11-02
VM7486,decommissioned,2025-09-20
VM6097,functional,2022-05-07
VM8650,repair,2022-02-27
VM4026,repair,2025-08-01
VM9084,repair,2022-08-05
VM7857,functional,2022-10-20
VM3847,repair,2020-05-26
VM3672,functional,2020-02-23
VM4250,decommissioned,2023-04-18
VM8476,decommissioned,2021-03-26
VM2124,functional,2020-01-18
VM4667,repair,2022-05-10
VM5235,decommissioned,2021-10-13
VM1716,decommissioned,2023-04-02
VM3197,functional,2025-07-28
VM7341,decommissioned,2021-12-25
VM5229,repair,2023-11-16
VM7974,decommissioned,2024-12-02
VM7929,decommissioned,2022-04-27
VM4712,decommissioned,2025-07-13
VM1014,decommissioned,2022-02-27
VM8326,repair,2022-10-20
VM9090,functional,2024-05-29
VM9802,decommissioned,2023-06-01
VM6263,decommissioned,2024-10-21
VM2983,repair,2024-07-23
VM9578,functional,2024-08-22
VM4118,decommissioned,2023-10-04
VM8037,repair,2021-12-26
VM3504,decommissioned,2021-09-27
VM5379,decommissioned,2021-11-03
VM3660,functional,2024-12-25
VM7553,repair,2021-09-19
VM8967,decommissioned,2020-07-25
VM6437,decommissioned,2020-05-25
VM5563,functional,2020-12-23
VM6703,decommissioned,2025-04-15
VM4893,decommissioned,2025-09-23
VM9370,functional,2022-03-01
VM6153,decommissioned,2023-03-16
VM7749,repair,2024-10-10
VM5733,repair,2020-08-06
VM1726,repair,2023-09-07
VM2457,repair,2024-01-02
VM7988,decommissioned,2021-02-18
VM6505,repair,2025-07-21
VM5673,decommissioned,2020-02-03
VM9309,repair,2023-12-06
VM5064,functional,2023-04-08
VM7807,functional,2022-09-29
VM5263,repair,2025-01-06
VM5640,decommissioned,2020-06-07
VM1780,decommissioned,2021-05-26
VM9191,decommissioned,2021-12-10
VM3147,repair,2023-05-03
VM6447,repair,2025-07-12
VM2510,decommissioned,2024-01-02
VM3276,decommissioned,2020-11-05
VM3321,functional,2020-03-14
VM5807,repair,2020-03-05
VM1977,repair,2020-08-12
VM4188,functional,2024-09-26
VM5939,decommissioned,2023-07-20
VM7695,functional,2021-06-26
VM1332,repair,2020-06-15
VM1732,repair,2020-11-26
VM8312,decommissioned,2024-02-29
VM7018,functional,2020-07-28
VM1125,repair,2022-05-07
VM7671,repair,2025-06-11
VM5999,repair,2022-09-11
VM5077,repair,2025-03-30
VM7630,repair,2025-10-05
VM1111,functional,2020-04-19
VM7797,decommissioned,2023-02-05
VM8709,functional,2025-10-20
VM7665,repair,2025-06-23
VM9292,decommissioned,2021-03-11
VM1717,decommissioned,2023-08-08
VM1840,functional,2022-09-27
VM6840,repair,2020-01-16
VM1722,functional,2022-10-09
VM9160,functional,2024-06-10
VM1975,repair,2020-07-13
VM3589,functional,2023-09-23
VM1113,decommissioned,2024-03-19
VM3022,decommissioned,2021-08-05
VM5383,functional,2024-07-11
VM8438,decommissioned,2021-12-31
VM1580,functional,2021-09-21
VM4754,decommissioned,2024-08-03
VM9078,functional,2020-07-05
VM1802,functional,2022-07-10
VM1501,repair,2021-12-19
VM9139,repair,2022-04-10
VM4655,functional,2020-03-06
VM9781,decommissioned,2021-10-09
VM2283,repair,2021-06-29
VM4182,functional,2022-06-25
VM6837,repair,2021-11-07
VM7784,functional,2020-04-30
VM6561,repair,2023-05-06
VM4029,repair,2021-06-22
VM8332,repair,2023-09-28
VM6934,functional,2023-04-28
VM4480,decommissioned,2023-12-31
VM7343,functional,2024-06-08
VM3150,functional,2025-01-01
VM9339,functional,2020-02-13
VM1134,functional,2021-12-20
VM2991,decommissioned,2025-07-23
VM2819,repair,2022-01-19
VM6865,functional,2020-02-25
VM8508,repair,2023-04-07
VM4226,decommissioned,2022-07-30
VM8337,repair,2023-11-16
VM4769,decommissioned,2022-10-28
VM9168,functional,2023-03-06
VM8008,repair,2021-12-28
VM1758,functional,2024-01-20
VM2683,repair,2022-01-12
VM7393,decommissioned,2021-01-31
VM5087,decommissioned,2022-08-14
VM8453,decommissioned,2023-12-18
VM9818,decommissioned,2024-12-28
VM7914,repair,2022-08-29
VM6787,repair,2021-08-03
VM9112,functional,2020-05-31
VM8285,decommissioned,2023-01-18
VM2870,functional,2022-07-07
VM3077,decommissioned,2025-02-14
VM5532,functional,2021-01-24
VM7579,functional,2021-05-07
VM1606,decommissioned,2021-04-20
VM5182,repair,2020-04-12
VM4465,functional,2023-10-14
VM8411,decommissioned,2022-05-29
VM9552,functional,2023-02-01
VM1970,decommissioned,2024-10-02
VM2236,repair,2022-10-04
VM8081,repair,2023-07-16
VM9238,functional,2023-10-06
VM4534,decommissioned,2022-12-24
VM8801,functional,2023-12-21
VM7820,functional,2025-06-25
VM1973,functional,2025-11-09
VM6890,functional,2020-02-19
VM9621,decommissioned,2024-07-26
VM2399,decommissioned,2022-12-11
VM6909,functional,2024-02-02
VM9571,decommissioned,2020-07-10
VM8814,repair,2023-05-09
VM1870,repair,2021-10-28
VM6484,decommissioned,2021-10-07
VM8982,repair,2024-07-27
VM7319,repair,2022-12-06
VM6777,decommissioned,2024-04-29
VM4295,repair,2023-07-02
VM5842,decommissioned,2021-10-07
VM1138,decommissioned,2020-09-10
VM4034,functional,2025-08-27
VM9923,decommissioned,2023-09-16
VM7430,decommissioned,2024-04-07
VM2736,functional,2025-05-24
VM2239,functional,2024-01-13
VM6625,decommissioned,2020-02-29
VM3664,repair,2023-03-26
VM4837,functional,2022-05-22
VM2926,functional,2023-08-11
VM3850,repair,2023-01-31
VM5932,functional,2020-06-12
VM1353,decommissioned,2025-01-28
VM2876,repair,2022-03-31
VM6819,functional,2023-07-21
VM3169,decommissioned,2020-10-08
VM9004,repair,2023-01-04
VM6780,repair,2021-10-23
VM3154,functional,2022-06-12
VM2462,repair,2020-03-15
VM1515,functional,2023-06-29
VM8222,decommissioned,2021-12-03
VM4815,repair,2020-06-03
VM2866,functional,2022-05-28
VM8818,repair,2023-10-08
VM7873,functional,2023-12-07
VM9751,decommissioned,2023-07-02
VM2674,repair,2024-07-15
VM8303,repair,2025-11-05
VM4128,functional,2021-06-23
VM2446,decommissioned,2020-09-18
VM6374,decommissioned,2023-10-19
VM8839,repair,2020-10-20
VM6200,decommissioned,2021-05-21
VM9502,decommissioned,2021-04-03
VM9182,functional,2023-10-30
VM9146,repair,2020-06-29
VM9325,functional,2022-10-15
VM7342,decommissioned,2023-03-04
VM1042,repair,2023-12-12
VM9827,functional,2023-07-23
VM3634,functional,2023-11-03
VM7918,decommissioned,2025-01-07
VM4154,repair,2022-02-10
VM8808,functional,2024-06-17
VM7827,repair,2024-10-01
VM3701,repair,2025-03-13
VM9577,repair,2024-02-23
VM1020,repair,2020-04-25
VM3735,decommissioned,2021-05-23
VM9976,decommissioned,2022-04-29
VM2631,repair,2023-05-16
VM7597,repair,2022-08-09
VM5762,repair,2023-10-18
VM1833,functional,2023-05-14
VM9642,repair,2022-08-31
VM8072,repair,2024-05-11
VM4694,functional,2023-02-17
VM6031,repair,2022-07-25
VM1499,repair,2024-12-22
VM3233,repair,2023-10-14
VM3942,functional,2024-02-08
VM9250,repair,2024-11-16
VM1323,functional,2025-10-10
VM4147,decommissioned,2024-06-06
VM8854,repair,2022-06-15
VM5851,functional,2020-02-08
VM7381,functional,2022-05-22
VM1212,decommissioned,2021-08-20
VM8398,functional,2024-02-01
VM9237,repair,2022-04-05
VM9466,repair,2020-09-19
VM4151,repair,2024-01-10
VM1878,functional,2020-01-22
VM5998,repair,2022-11-04
VM4003,repair,2023-02-11
VM7572,functional,2025-06-18
VM3952,functional,2025-02-05
VM4272,repair,2023-12-22
VM9786,decommissioned,2021-12-25
VM6427,repair,2022-04-03
VM2852,decommissioned,2025-07-04
VM8638,functional,2023-03-09
VM2280,repair,2022-05-22
VM4835,functional,2022-06-03
VM8280,decommissioned,2020-02-08
VM2166,functional,2021-11-20
VM3514,functional,2025-06-28
VM1600,decommissioned,2020-02-13
VM4083,functional,2020-09-28
VM1954,decommissioned,2023-12-17
VM8978,functional,2021-09-03
VM7164,decommissioned,2023-10-10
VM3453,repair,2025-02-13
VM3676,decommissioned,2021-07-04
VM6633,functional,2022-01-25
VM5596,functional,2021-08-17
VM4671,functional,2021-03-18
VM7753,decommissioned,2025-02-21
VM7666,functional,2021-08-20
VM1989,repair,2021-04-14
VM7264,decommissioned,2024-03-14
VM2215,decommissioned,2021-10-20
VM4913,repair,2020-01-21
VM3870,repair,2022-05-26
VM7744,functional,2021-08-05
VM1399,decommissioned,2022-10-19
VM2556,repair,2022-07-06
VM2802,repair,2025-01-30
VM4425,functional,2023-12-01
VM3336,decommissioned,2025-01-30
VM3116,functional,2024-05-19
VM9515,decommissioned,2021-11-15
VM4388,functional,2020-03-20
VM6173,functional,2023-08-17
VM9550,repair,2024-01-27
VM1884,functional,2022-07-06
VM9673,decommissioned,2020-04-16
VM5374,decommissioned,2022-03-13
VM6850,repair,2025-02-17
VM6035,repair,2021-05-14
VM2741,decommissioned,2024-11-14
VM1731,functional,2021-11-05
VM3310,functional,2024-10-20
VM6423,repair,2021-11-01
VM6125,repair,2021-08-06
VM7481,repair,2020-02-06
VM3665,functional,2023-06-16
VM5154,functional,2024-02-14
VM6304,functional,2021-08-05
VM8050,functional,2024-03-11
VM6158,functional,2022-11-10
VM2970,functional,2023-07-04
VM5442,decommissioned,2025-11-16
VM2875,functional,2023-02-24
VM9135,repair,2023-07-19
VM4983,decommissioned,2022-02-02
VM9006,decommissioned,2021-02-12
VM2896,repair,2024-03-04
VM3439,decommissioned,2024-06-11
VM7098,functional,2021-06-23
VM3541,repair,2024-11-24
VM1396,decommissioned,2020-12-24
VM3436,repair,2022-12-30
VM5544,functional,2023-12-22
VM5041,decommissioned,2022-08-26
VM5736,repair,2020-06-16
VM9726,decommissioned,2021-11-24
VM9982,functional,2023-02-15
VM8929,functional,2024-05-14
VM2713,functional,2021-10-05
VM2822,functional,2020-02-19
VM1556,repair,2023-07-20
VM1552,decommissioned,2023-02-25
VM9712,functional,2021-12-17
VM6400,decommissioned,2024-11-07
VM1204,decommissioned,2021-07-06
VM2933,decommissioned,2022-06-19
VM2007,functional,2024-05-13
VM8726,functional,2024-04-09
VM4767,functional,2020-03-04
VM5413,repair,2023-09-02
VM5946,decommissioned,2022-09-16
VM7474,repair,2025-02-18
VM2115,functional,2022-12-26
VM5914,repair,2021-09-05
VM3726,repair,2021-04-23
VM8585,functional,2020-03-01
VM1213,repair,2020-02-25
VM7983,functional,2020-07-11
VM7756,functional,2024-11-11
VM1999,repair,2020-11-21
VM4878,repair,2025-09-27
VM8955,functional,2022-12-08
VM8708,repair,2021-03-01
VM1547,decommissioned,2024-07-11
VM4325,repair,2023-11-05
VM4333,repair,2020-06-01
VM7002,repair,2020-01-24
VM1345,decommissioned,2022-02-06
VM9260,repair,2020-09-09
VM5553,repair,2025-03-11
VM8433,repair,2020-02-05
VM3188,repair,2020-04-11
VM9880,repair,2022-07-07
VM8130,decommissioned,2023-09-10
VM4502,repair,2020-06-06
VM7374,decommissioned,2023-03-21
VM2382,decommissioned,2022-05-18
VM8567,decommissioned,2023-02-10
VM2538,decommissioned,2024-12-25
VM6728,functional,2021-05-02
VM4427,repair,2021-04-25
VM8779,functional,2023-10-26
VM1423,functional,2020-12-06
VM7886,decommissioned,2023-04-14
VM5688,repair,2025-02-01
VM4415,repair,2025-11-20
VM4459,functional,2021-11-11
VM5748,repair,2021-03-24
VM3152,repair,2023-02-17
VM8736,repair,2022-04-12
VM4391,repair,2021-01-22
VM9490,decommissioned,2023-10-24
VM4914,functional,2023-01-21
VM6722,functional,2025-06-12
VM2759,repair,2022-10-02
VM1589,functional,2020-10-30
VM1629,repair,2021-01-08
VM7022,repair,2021-06-17
VM8970,repair,2024-09-28
VM7458,repair,2025-05-28
VM4479,decommissioned,2023-04-18
VM4047,repair,2023-09-22
VM9409,decommissioned,2022-05-11
VM8575,decommissioned,2022-05-04
VM8241,decommissioned,2023-08-15
VM4413,functional,2024-06-03
VM2673,repair,2025-04-25
VM8842,decommissioned,2025-03-01
VM6052,functional,2025-03-20
VM4824,decommissioned,2023-12-09
VM7478,functional,2022-04-28
VM4828,decommissioned,2023-10-26
VM6854,functional,2024-05-29
VM9692,functional,2023-09-03
VM6418,decommissioned,2020-06-16
VM6307,functional,2021-02-14
VM3446,functional,2022-12-27
VM5682,decommissioned,2023-03-23
VM1799,decommissioned,2022-01-04
VM6247,repair,2025-02-25
VM9643,functional,2021-10-07
VM5611,repair,2024-12-08
VM1377,decommissioned,2022-01-26
VM3587,functional,2024-01-04
VM2887,functional,2022-04-02
VM7828,decommissioned,2020-05-11
VM7786,functional,2023-01-11
VM2047,decommissioned,2022-04-05
VM5221,decommissioned,2022-08-28
VM5462,functional,2020-12-19
VM1021,repair,2024-11-03
VM9103,functional,2022-04-21
VM9125,repair,2020-04-18
VM9559,repair,2021-09-01
VM7124,repair,2021-05-21
VM2578,repair,2023-01-01
VM4984,decommissioned,2022-03-12
VM8628,functional,2021-10-13
VM2277,repair,2020-01-19
VM7457,functional,2025-01-08
VM3749,repair,2022-12-01
VM7314,repair,2021-11-04
VM9796,decommissioned,2025-08-02
VM4545,repair,2024-11-05
VM7143,repair,2021-02-28
VM6564,decommissioned,2022-08-23
VM7691,functional,2023-06-04
VM5952,functional,2022-07-24
VM8038,functional,2020-10-30
VM8402,functional,2025-06-08
VM4617,decommissioned,2024-11-20
VM5050,repair,2022-04-19
VM1778,repair,2020-08-15
VM4833,decommissioned,2022-02-20
VM6464,functional,2023-11-01
VM4719,repair,2023-08-13
VM5311,decommissioned,2025-11-06
VM2054,functional,2024-10-18
VM1598,functional,2021-07-27
VM4812,functional,2025-04-03
VM7519,repair,2023-11-21
VM4511,repair,2024-08-28
VM8099,functional,2023-01-15
VM6375,functional,2025-05-30
VM7554,repair,2021-10-29
VM6656,functional,2020-05-22
VM3842,repair,2025-08-14
VM7748,repair,2025-06-18
VM4036,repair,2024-02-19
VM2524,decommissioned,2023-04-19
VM9919,decommissioned,2021-09-24
VM6512,repair,2022-07-16
VM4538,decommissioned,2020-02-07
VM1749,decommissioned,2022-05-17
VM8734,functional,2022-08-12
VM3892,functional,2024-12-20
VM2373,decommissioned,2023-06-04
VM7937,decommissioned,2021-11-15
VM8593,repair,2024-07-04
VM3178,functional,2023-09-27
VM9423,functional,2022-11-10
VM6049,decommissioned,2021-12-03
VM2388,repair,2022-04-19
VM9723,functional,2020-04-14
VM6726,functional,2025-06-18
VM4227,functional,2020-04-18
VM7641,repair,2025-03-07
VM8076,repair,2020-07-28
VM4936,decommissioned,2023-09-01
VM7883,repair,2022-01-05
VM2938,functional,2025-06-03
VM3753,functional,2025-01-31
VM8914,decommissioned,2024-11-03
VM2406,decommissioned,2024-06-04
VM6003,repair,2022-05-30
VM3171,repair,2021-04-24
VM8957,functional,2021-09-12
VM3094,repair,2020-03-16
VM2412,repair,2022-04-21
VM8227,repair,2023-02-11
VM5331,repair,2020-02-18
VM2899,functional,2022-10-12
VM5209,functional,2021-07-15
VM1680,functional,2025-06-24
VM7678,repair,2020-02-20
VM4113,decommissioned,2024-10-13
VM7655,functional,2020-04-22
VM4716,functional,2023-06-21
VM8888,repair,2025-04-21
VM9038,decommissioned,2023-11-21
VM8597,functional,2021-02-15
VM1484,functional,2020-03-09
VM3401,functional,2024-11-21
VM2551,repair,2025-04-11
VM2138,functional,2020-10-26
VM4993,functional,2020-01-28
VM5514,repair,2020-02-25
VM3185,decommissioned,2024-02-12
VM9773,decommissioned,2020-11-23
VM5646,functional,2020-03-12
VM7278,functional,2024-05-23
VM8673,functional,2024-11-18
VM5139,decommissioned,2024-07-10
VM6296,functional,2025-02-18
VM4315,decommissioned,2023-11-17
VM7995,decommissioned,2020-05-28
VM9601,repair,2023-12-29
VM3148,decommissioned,2021-12-11
VM2800,functional,2025-05-22
